----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             456
              Tanh-2            [-1, 6, 28, 28]               0
         AvgPool2d-3            [-1, 6, 14, 14]               0
            Conv2d-4           [-1, 16, 10, 10]           2,416
              Tanh-5           [-1, 16, 10, 10]               0
         AvgPool2d-6             [-1, 16, 5, 5]               0
           Flatten-7                  [-1, 400]               0
            Linear-8                  [-1, 120]          48,120
              Tanh-9                  [-1, 120]               0
           Linear-10                   [-1, 84]          10,164
             Tanh-11                   [-1, 84]               0
           Linear-12                   [-1, 10]             850
================================================================
Total params: 62,006
Trainable params: 62,006
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.11
Params size (MB): 0.24
Estimated Total Size (MB): 0.36
----------------------------------------------------------------
#Params: 0.1M
23:24:37 --- Start training loop	training on: cuda
23:25:13 --- Epoch: 1	Train loss: 1.8981	Valid loss: 1.6256	Train accuracy: 38.14	Valid accuracy: 41.33
23:25:49 --- Epoch: 2	Train loss: 1.6784	Valid loss: 1.5102	Train accuracy: 42.52	Valid accuracy: 45.56
23:26:24 --- Epoch: 3	Train loss: 1.5917	Valid loss: 1.5544	Train accuracy: 40.73	Valid accuracy: 43.79
23:27:00 --- Epoch: 4	Train loss: 1.5523	Valid loss: 1.4418	Train accuracy: 44.88	Valid accuracy: 47.58
23:27:35 --- Epoch: 5	Train loss: 1.5172	Valid loss: 1.4450	Train accuracy: 44.49	Valid accuracy: 47.81
23:28:13 --- Epoch: 6	Train loss: 1.4935	Valid loss: 1.3611	Train accuracy: 48.36	Valid accuracy: 50.97
23:28:51 --- Epoch: 7	Train loss: 1.4716	Valid loss: 1.4239	Train accuracy: 45.91	Valid accuracy: 48.97
23:29:30 --- Epoch: 8	Train loss: 1.4511	Valid loss: 1.4035	Train accuracy: 46.89	Valid accuracy: 49.29
23:30:07 --- Epoch: 9	Train loss: 1.4404	Valid loss: 1.3546	Train accuracy: 48.12	Valid accuracy: 51.81
23:30:42 --- Epoch: 10	Train loss: 1.4275	Valid loss: 1.3330	Train accuracy: 50.18	Valid accuracy: 52.50
23:31:18 --- Epoch: 11	Train loss: 1.4158	Valid loss: 1.3742	Train accuracy: 48.43	Valid accuracy: 51.30
23:31:53 --- Epoch: 12	Train loss: 1.4002	Valid loss: 1.3077	Train accuracy: 50.71	Valid accuracy: 53.21
23:32:29 --- Epoch: 13	Train loss: 1.4053	Valid loss: 1.3085	Train accuracy: 51.03	Valid accuracy: 53.76
23:33:04 --- Epoch: 14	Train loss: 1.3922	Valid loss: 1.3144	Train accuracy: 50.43	Valid accuracy: 52.91
23:33:40 --- Epoch: 15	Train loss: 1.3724	Valid loss: 1.3514	Train accuracy: 49.84	Valid accuracy: 52.04
23:34:15 --- Epoch: 16	Train loss: 1.3672	Valid loss: 1.2865	Train accuracy: 52.06	Valid accuracy: 54.61
23:34:52 --- Epoch: 17	Train loss: 1.3741	Valid loss: 1.2693	Train accuracy: 52.01	Valid accuracy: 55.33
23:35:29 --- Epoch: 18	Train loss: 1.3597	Valid loss: 1.2579	Train accuracy: 52.65	Valid accuracy: 55.25
23:36:08 --- Epoch: 19	Train loss: 1.3451	Valid loss: 1.2561	Train accuracy: 52.79	Valid accuracy: 55.28
23:36:46 --- Epoch: 20	Train loss: 1.3530	Valid loss: 1.2693	Train accuracy: 52.06	Valid accuracy: 54.69
23:37:25 --- Epoch: 21	Train loss: 1.3485	Valid loss: 1.2907	Train accuracy: 50.73	Valid accuracy: 53.31
23:38:03 --- Epoch: 22	Train loss: 1.3470	Valid loss: 1.2379	Train accuracy: 54.09	Valid accuracy: 56.73
23:38:39 --- Epoch: 23	Train loss: 1.3388	Valid loss: 1.2993	Train accuracy: 50.98	Valid accuracy: 53.49
23:39:14 --- Epoch: 24	Train loss: 1.3360	Valid loss: 1.2487	Train accuracy: 53.31	Valid accuracy: 55.88
23:39:50 --- Epoch: 25	Train loss: 1.3324	Valid loss: 1.2619	Train accuracy: 53.05	Valid accuracy: 55.76
23:40:25 --- Epoch: 26	Train loss: 1.3212	Valid loss: 1.2335	Train accuracy: 53.44	Valid accuracy: 56.09
23:41:01 --- Epoch: 27	Train loss: 1.3334	Valid loss: 1.3174	Train accuracy: 51.41	Valid accuracy: 54.23
23:41:36 --- Epoch: 28	Train loss: 1.3364	Valid loss: 1.2877	Train accuracy: 51.50	Valid accuracy: 54.35
23:42:12 --- Epoch: 29	Train loss: 1.3272	Valid loss: 1.2627	Train accuracy: 52.49	Valid accuracy: 54.79
23:42:50 --- Epoch: 30	Train loss: 1.3226	Valid loss: 1.2457	Train accuracy: 53.04	Valid accuracy: 55.87
23:43:26 --- Epoch: 31	Train loss: 1.3179	Valid loss: 1.2339	Train accuracy: 53.78	Valid accuracy: 56.10
23:44:02 --- Epoch: 32	Train loss: 1.3200	Valid loss: 1.2755	Train accuracy: 52.33	Valid accuracy: 54.83
23:44:38 --- Epoch: 33	Train loss: 1.3001	Valid loss: 1.2260	Train accuracy: 55.03	Valid accuracy: 57.01
23:45:16 --- Epoch: 34	Train loss: 1.3096	Valid loss: 1.2431	Train accuracy: 53.87	Valid accuracy: 55.86
23:45:51 --- Epoch: 35	Train loss: 1.3092	Valid loss: 1.1884	Train accuracy: 55.54	Valid accuracy: 58.17
23:46:26 --- Epoch: 36	Train loss: 1.3063	Valid loss: 1.2237	Train accuracy: 54.22	Valid accuracy: 56.84
23:47:02 --- Epoch: 37	Train loss: 1.3025	Valid loss: 1.2298	Train accuracy: 53.46	Valid accuracy: 56.80
23:47:37 --- Epoch: 38	Train loss: 1.3107	Valid loss: 1.2197	Train accuracy: 54.51	Valid accuracy: 56.89
23:48:12 --- Epoch: 39	Train loss: 1.3058	Valid loss: 1.2438	Train accuracy: 53.25	Valid accuracy: 55.36
23:48:48 --- Epoch: 40	Train loss: 1.3010	Valid loss: 1.2401	Train accuracy: 53.95	Valid accuracy: 55.83
23:49:24 --- Epoch: 41	Train loss: 1.3088	Valid loss: 1.2237	Train accuracy: 54.56	Valid accuracy: 56.57
23:49:59 --- Epoch: 42	Train loss: 1.2952	Valid loss: 1.2245	Train accuracy: 53.68	Valid accuracy: 56.16
23:50:34 --- Epoch: 43	Train loss: 1.2947	Valid loss: 1.2160	Train accuracy: 54.43	Valid accuracy: 57.20
23:51:12 --- Epoch: 44	Train loss: 1.3053	Valid loss: 1.2931	Train accuracy: 52.42	Valid accuracy: 54.43
23:51:48 --- Epoch: 45	Train loss: 1.3017	Valid loss: 1.2161	Train accuracy: 54.17	Valid accuracy: 56.24
23:52:23 --- Epoch: 46	Train loss: 1.2920	Valid loss: 1.2489	Train accuracy: 53.69	Valid accuracy: 55.19
23:53:01 --- Epoch: 47	Train loss: 1.2979	Valid loss: 1.2280	Train accuracy: 55.01	Valid accuracy: 56.54
23:53:37 --- Epoch: 48	Train loss: 1.2891	Valid loss: 1.2457	Train accuracy: 54.13	Valid accuracy: 56.38
23:54:12 --- Epoch: 49	Train loss: 1.2903	Valid loss: 1.2067	Train accuracy: 54.97	Valid accuracy: 57.29
23:54:48 --- Epoch: 50	Train loss: 1.2877	Valid loss: 1.2385	Train accuracy: 52.78	Valid accuracy: 55.68
						Learning Rate from 0.100 to 0.010
23:55:24 --- Epoch: 51	Train loss: 1.1611	Valid loss: 1.0916	Train accuracy: 59.82	Valid accuracy: 61.22
23:55:59 --- Epoch: 52	Train loss: 1.1272	Valid loss: 1.0819	Train accuracy: 60.51	Valid accuracy: 61.91
23:56:36 --- Epoch: 53	Train loss: 1.1161	Valid loss: 1.0691	Train accuracy: 60.38	Valid accuracy: 62.29
23:57:11 --- Epoch: 54	Train loss: 1.1049	Valid loss: 1.0728	Train accuracy: 60.31	Valid accuracy: 61.77
23:57:46 --- Epoch: 55	Train loss: 1.1062	Valid loss: 1.0641	Train accuracy: 60.81	Valid accuracy: 62.10
23:58:23 --- Epoch: 56	Train loss: 1.1030	Valid loss: 1.0685	Train accuracy: 61.12	Valid accuracy: 62.36
23:58:59 --- Epoch: 57	Train loss: 1.0934	Valid loss: 1.0604	Train accuracy: 61.01	Valid accuracy: 62.16
23:59:34 --- Epoch: 58	Train loss: 1.0911	Valid loss: 1.0528	Train accuracy: 61.68	Valid accuracy: 62.51
