----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             456
       BatchNorm2d-2            [-1, 6, 28, 28]              12
              Tanh-3            [-1, 6, 28, 28]               0
 AdaptiveAvgPool2d-4              [-1, 6, 1, 1]               0
            Linear-5                    [-1, 0]               0
              ReLU-6                    [-1, 0]               0
            Linear-7                    [-1, 6]               0
           Sigmoid-8                    [-1, 6]               0
           SEBlock-9            [-1, 6, 28, 28]               0
        AvgPool2d-10            [-1, 6, 14, 14]               0
           Conv2d-11           [-1, 16, 10, 10]           2,416
             Tanh-12           [-1, 16, 10, 10]               0
        AvgPool2d-13             [-1, 16, 5, 5]               0
          Flatten-14                  [-1, 400]               0
           Linear-15                  [-1, 120]          48,120
             Tanh-16                  [-1, 120]               0
           Linear-17                   [-1, 84]          10,164
             Tanh-18                   [-1, 84]               0
           Linear-19                   [-1, 10]             850
================================================================
Total params: 62,018
Trainable params: 62,018
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.19
Params size (MB): 0.24
Estimated Total Size (MB): 0.43
----------------------------------------------------------------
#Params: 0.1M
03:25:43 --- Start training loop	training on: cuda
03:26:23 --- Epoch: 1	Train loss: 1.8640	Valid loss: 1.6624	Train accuracy: 36.96	Valid accuracy: 38.95
03:26:57 --- Epoch: 2	Train loss: 1.6740	Valid loss: 1.5083	Train accuracy: 42.01	Valid accuracy: 45.68
03:27:33 --- Epoch: 3	Train loss: 1.6007	Valid loss: 1.4611	Train accuracy: 44.62	Valid accuracy: 47.80
03:28:13 --- Epoch: 4	Train loss: 1.5475	Valid loss: 1.4413	Train accuracy: 45.92	Valid accuracy: 48.83
03:28:47 --- Epoch: 5	Train loss: 1.5298	Valid loss: 1.4166	Train accuracy: 45.81	Valid accuracy: 49.21
03:29:21 --- Epoch: 6	Train loss: 1.4926	Valid loss: 1.5015	Train accuracy: 45.47	Valid accuracy: 47.62
03:29:58 --- Epoch: 7	Train loss: 1.4708	Valid loss: 1.3461	Train accuracy: 48.85	Valid accuracy: 52.34
03:30:32 --- Epoch: 8	Train loss: 1.4610	Valid loss: 1.3794	Train accuracy: 48.63	Valid accuracy: 50.45
03:31:06 --- Epoch: 9	Train loss: 1.4423	Valid loss: 1.3390	Train accuracy: 49.63	Valid accuracy: 51.93
03:31:43 --- Epoch: 10	Train loss: 1.4303	Valid loss: 1.3982	Train accuracy: 50.01	Valid accuracy: 51.65
03:32:17 --- Epoch: 11	Train loss: 1.4059	Valid loss: 1.2833	Train accuracy: 51.23	Valid accuracy: 54.03
03:32:51 --- Epoch: 12	Train loss: 1.4118	Valid loss: 1.3380	Train accuracy: 50.30	Valid accuracy: 52.34
03:33:28 --- Epoch: 13	Train loss: 1.3978	Valid loss: 1.3370	Train accuracy: 49.68	Valid accuracy: 52.41
03:34:02 --- Epoch: 14	Train loss: 1.3825	Valid loss: 1.2558	Train accuracy: 53.03	Valid accuracy: 55.41
03:34:36 --- Epoch: 15	Train loss: 1.3836	Valid loss: 1.2730	Train accuracy: 52.57	Valid accuracy: 55.41
03:35:13 --- Epoch: 16	Train loss: 1.3609	Valid loss: 1.2737	Train accuracy: 52.00	Valid accuracy: 54.27
03:35:46 --- Epoch: 17	Train loss: 1.3584	Valid loss: 1.3164	Train accuracy: 50.90	Valid accuracy: 53.36
03:36:20 --- Epoch: 18	Train loss: 1.3453	Valid loss: 1.2962	Train accuracy: 51.93	Valid accuracy: 53.74
03:36:56 --- Epoch: 19	Train loss: 1.3366	Valid loss: 1.2444	Train accuracy: 53.00	Valid accuracy: 55.17
