----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             456
              Tanh-2            [-1, 6, 28, 28]               0
         AvgPool2d-3            [-1, 6, 14, 14]               0
            Conv2d-4           [-1, 16, 10, 10]           2,416
       BatchNorm2d-5           [-1, 16, 10, 10]              32
              Tanh-6           [-1, 16, 10, 10]               0
 AdaptiveAvgPool2d-7             [-1, 16, 1, 1]               0
            Linear-8                    [-1, 1]              16
              ReLU-9                    [-1, 1]               0
           Linear-10                   [-1, 16]              16
          Sigmoid-11                   [-1, 16]               0
          SEBlock-12           [-1, 16, 10, 10]               0
        AvgPool2d-13             [-1, 16, 5, 5]               0
          Flatten-14                  [-1, 400]               0
           Linear-15                  [-1, 120]          48,120
             Tanh-16                  [-1, 120]               0
           Linear-17                   [-1, 84]          10,164
             Tanh-18                   [-1, 84]               0
           Linear-19                   [-1, 10]             850
================================================================
Total params: 62,070
Trainable params: 62,070
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.14
Params size (MB): 0.24
Estimated Total Size (MB): 0.39
----------------------------------------------------------------
#Params: 0.1M
02:26:03 --- Start training loop	training on: cuda
02:26:44 --- Epoch: 1	Train loss: 1.8058	Valid loss: 1.5650	Train accuracy: 38.70	Valid accuracy: 42.65
02:27:17 --- Epoch: 2	Train loss: 1.6163	Valid loss: 1.5256	Train accuracy: 41.19	Valid accuracy: 43.48
02:27:55 --- Epoch: 3	Train loss: 1.5500	Valid loss: 1.4108	Train accuracy: 45.24	Valid accuracy: 48.69
02:28:35 --- Epoch: 4	Train loss: 1.5007	Valid loss: 1.3930	Train accuracy: 46.32	Valid accuracy: 49.87
02:29:09 --- Epoch: 5	Train loss: 1.4635	Valid loss: 1.3530	Train accuracy: 48.08	Valid accuracy: 50.64
02:29:43 --- Epoch: 6	Train loss: 1.4276	Valid loss: 1.2936	Train accuracy: 50.60	Valid accuracy: 53.15
02:30:20 --- Epoch: 7	Train loss: 1.3966	Valid loss: 1.3047	Train accuracy: 50.47	Valid accuracy: 53.66
02:30:54 --- Epoch: 8	Train loss: 1.3661	Valid loss: 1.4060	Train accuracy: 47.73	Valid accuracy: 49.97
02:31:30 --- Epoch: 9	Train loss: 1.3504	Valid loss: 1.2232	Train accuracy: 53.29	Valid accuracy: 56.57
02:32:07 --- Epoch: 10	Train loss: 1.3343	Valid loss: 1.2737	Train accuracy: 52.29	Valid accuracy: 54.66
02:32:47 --- Epoch: 11	Train loss: 1.3254	Valid loss: 1.2305	Train accuracy: 53.27	Valid accuracy: 55.52
02:33:20 --- Epoch: 12	Train loss: 1.2993	Valid loss: 1.1855	Train accuracy: 55.92	Valid accuracy: 57.86
02:33:54 --- Epoch: 13	Train loss: 1.2968	Valid loss: 1.2211	Train accuracy: 53.97	Valid accuracy: 56.07
02:34:30 --- Epoch: 14	Train loss: 1.2754	Valid loss: 1.2115	Train accuracy: 54.34	Valid accuracy: 56.78
02:35:04 --- Epoch: 15	Train loss: 1.2701	Valid loss: 1.2035	Train accuracy: 55.19	Valid accuracy: 57.28
02:35:37 --- Epoch: 16	Train loss: 1.2606	Valid loss: 1.1795	Train accuracy: 56.31	Valid accuracy: 58.54
