----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             456
              ReLU-2            [-1, 6, 28, 28]               0
         MaxPool2d-3            [-1, 6, 14, 14]               0
            Conv2d-4           [-1, 16, 10, 10]           2,416
              ReLU-5           [-1, 16, 10, 10]               0
         MaxPool2d-6             [-1, 16, 5, 5]               0
           Flatten-7                  [-1, 400]               0
            Linear-8                  [-1, 120]          48,120
              ReLU-9                  [-1, 120]               0
           Linear-10                   [-1, 84]          10,164
             ReLU-11                   [-1, 84]               0
           Linear-12                   [-1, 10]             850
================================================================
Total params: 62,006
Trainable params: 62,006
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.11
Params size (MB): 0.24
Estimated Total Size (MB): 0.36
----------------------------------------------------------------
#Params: 0.1M
10:56:12 --- Start training loop	training on: cuda
10:56:49 --- Epoch: 1	Train loss: 1.9510	Valid loss: 1.6996	Train accuracy: 34.51	Valid accuracy: 37.20
10:57:28 --- Epoch: 2	Train loss: 1.7840	Valid loss: 1.7258	Train accuracy: 34.89	Valid accuracy: 37.56
10:58:01 --- Epoch: 3	Train loss: 1.7824	Valid loss: 1.7724	Train accuracy: 30.97	Valid accuracy: 33.36
10:58:38 --- Epoch: 4	Train loss: 1.7431	Valid loss: 1.6892	Train accuracy: 35.79	Valid accuracy: 38.23
10:59:17 --- Epoch: 5	Train loss: 1.7485	Valid loss: 1.7293	Train accuracy: 33.91	Valid accuracy: 35.86
10:59:51 --- Epoch: 6	Train loss: 1.7057	Valid loss: 1.5632	Train accuracy: 40.29	Valid accuracy: 43.84
11:00:28 --- Epoch: 7	Train loss: 1.7227	Valid loss: 1.6603	Train accuracy: 36.79	Valid accuracy: 38.38
11:01:05 --- Epoch: 8	Train loss: 1.7095	Valid loss: 1.6395	Train accuracy: 36.84	Valid accuracy: 38.62
11:01:45 --- Epoch: 9	Train loss: 1.7032	Valid loss: 1.5785	Train accuracy: 39.33	Valid accuracy: 41.34
11:02:18 --- Epoch: 10	Train loss: 1.6745	Valid loss: 1.6355	Train accuracy: 38.81	Valid accuracy: 40.17
11:02:55 --- Epoch: 11	Train loss: 1.6853	Valid loss: 1.6594	Train accuracy: 39.86	Valid accuracy: 42.01
11:03:32 --- Epoch: 12	Train loss: 1.6853	Valid loss: 1.6086	Train accuracy: 40.76	Valid accuracy: 42.27
11:04:11 --- Epoch: 13	Train loss: 1.6791	Valid loss: 1.5789	Train accuracy: 40.70	Valid accuracy: 41.67
11:04:44 --- Epoch: 14	Train loss: 1.6676	Valid loss: 1.6615	Train accuracy: 39.65	Valid accuracy: 41.52
11:05:21 --- Epoch: 15	Train loss: 1.6941	Valid loss: 1.6536	Train accuracy: 38.34	Valid accuracy: 40.20
11:05:58 --- Epoch: 16	Train loss: 1.6557	Valid loss: 1.5876	Train accuracy: 40.05	Valid accuracy: 43.07
11:06:37 --- Epoch: 17	Train loss: 1.6715	Valid loss: 1.7213	Train accuracy: 35.78	Valid accuracy: 37.73
11:07:10 --- Epoch: 18	Train loss: 1.6780	Valid loss: 1.5857	Train accuracy: 42.33	Valid accuracy: 44.54
11:07:46 --- Epoch: 19	Train loss: 1.6477	Valid loss: 1.6579	Train accuracy: 37.87	Valid accuracy: 40.97
11:08:25 --- Epoch: 20	Train loss: 1.6616	Valid loss: 1.6720	Train accuracy: 39.17	Valid accuracy: 40.81
11:08:59 --- Epoch: 21	Train loss: 1.6511	Valid loss: 1.6361	Train accuracy: 41.18	Valid accuracy: 42.54
11:09:37 --- Epoch: 22	Train loss: 1.6571	Valid loss: 1.5711	Train accuracy: 42.16	Valid accuracy: 43.89
11:10:18 --- Epoch: 23	Train loss: 1.6208	Valid loss: 1.5520	Train accuracy: 42.86	Valid accuracy: 46.41
11:10:58 --- Epoch: 24	Train loss: 1.6478	Valid loss: 1.5677	Train accuracy: 43.33	Valid accuracy: 46.28
11:11:31 --- Epoch: 25	Train loss: 1.6239	Valid loss: 1.6681	Train accuracy: 38.34	Valid accuracy: 41.52
11:12:08 --- Epoch: 26	Train loss: 1.6401	Valid loss: 1.5266	Train accuracy: 44.57	Valid accuracy: 46.74
11:12:45 --- Epoch: 27	Train loss: 1.6415	Valid loss: 1.6093	Train accuracy: 40.36	Valid accuracy: 42.35
11:13:24 --- Epoch: 28	Train loss: 1.6426	Valid loss: 1.7380	Train accuracy: 35.03	Valid accuracy: 36.93
11:13:58 --- Epoch: 29	Train loss: 1.6477	Valid loss: 1.5813	Train accuracy: 43.56	Valid accuracy: 45.63
11:14:35 --- Epoch: 30	Train loss: 1.6464	Valid loss: 1.5952	Train accuracy: 41.25	Valid accuracy: 43.53
11:15:14 --- Epoch: 31	Train loss: 1.6248	Valid loss: 1.5531	Train accuracy: 42.76	Valid accuracy: 45.14
11:15:48 --- Epoch: 32	Train loss: 1.6253	Valid loss: 1.5497	Train accuracy: 43.64	Valid accuracy: 45.41
11:16:25 --- Epoch: 33	Train loss: 1.6357	Valid loss: 1.5923	Train accuracy: 41.94	Valid accuracy: 44.54
11:17:03 --- Epoch: 34	Train loss: 1.6493	Valid loss: 1.6491	Train accuracy: 40.39	Valid accuracy: 42.33
11:17:41 --- Epoch: 35	Train loss: 1.6498	Valid loss: 1.5636	Train accuracy: 41.60	Valid accuracy: 43.34
11:18:15 --- Epoch: 36	Train loss: 1.6533	Valid loss: 1.6317	Train accuracy: 39.68	Valid accuracy: 41.76
11:18:51 --- Epoch: 37	Train loss: 1.6597	Valid loss: 1.6606	Train accuracy: 40.90	Valid accuracy: 42.78
