----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             456
       BatchNorm2d-2            [-1, 6, 28, 28]              12
              Tanh-3            [-1, 6, 28, 28]               0
 AdaptiveAvgPool2d-4              [-1, 6, 1, 1]               0
            Linear-5                    [-1, 0]               0
              ReLU-6                    [-1, 0]               0
            Linear-7                    [-1, 6]               0
           Sigmoid-8                    [-1, 6]               0
           SEBlock-9            [-1, 6, 28, 28]               0
        AvgPool2d-10            [-1, 6, 14, 14]               0
           Conv2d-11           [-1, 16, 10, 10]           2,416
             Tanh-12           [-1, 16, 10, 10]               0
        AvgPool2d-13             [-1, 16, 5, 5]               0
          Flatten-14                  [-1, 400]               0
           Linear-15                  [-1, 120]          48,120
             Tanh-16                  [-1, 120]               0
           Linear-17                   [-1, 84]          10,164
             Tanh-18                   [-1, 84]               0
           Linear-19                   [-1, 10]             850
================================================================
Total params: 62,018
Trainable params: 62,018
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.19
Params size (MB): 0.24
Estimated Total Size (MB): 0.43
----------------------------------------------------------------
#Params: 0.1M
03:58:04 --- Start training loop	training on: cuda
03:58:37 --- Epoch: 1	Train loss: 1.8587	Valid loss: 1.6262	Train accuracy: 38.59	Valid accuracy: 42.19
03:59:16 --- Epoch: 2	Train loss: 1.6626	Valid loss: 1.5376	Train accuracy: 40.76	Valid accuracy: 43.99
03:59:49 --- Epoch: 3	Train loss: 1.5935	Valid loss: 1.4620	Train accuracy: 43.97	Valid accuracy: 47.15
04:00:22 --- Epoch: 4	Train loss: 1.5458	Valid loss: 1.4514	Train accuracy: 45.02	Valid accuracy: 46.74
04:00:59 --- Epoch: 5	Train loss: 1.5037	Valid loss: 1.4649	Train accuracy: 44.40	Valid accuracy: 47.26
04:01:32 --- Epoch: 6	Train loss: 1.4919	Valid loss: 1.4166	Train accuracy: 46.87	Valid accuracy: 49.14
04:02:06 --- Epoch: 7	Train loss: 1.4569	Valid loss: 1.3622	Train accuracy: 48.58	Valid accuracy: 50.76
04:02:40 --- Epoch: 8	Train loss: 1.4379	Valid loss: 1.3184	Train accuracy: 50.71	Valid accuracy: 52.08
04:03:13 --- Epoch: 9	Train loss: 1.4200	Valid loss: 1.3206	Train accuracy: 50.36	Valid accuracy: 52.28
04:03:51 --- Epoch: 10	Train loss: 1.3886	Valid loss: 1.3043	Train accuracy: 51.28	Valid accuracy: 53.30
04:04:24 --- Epoch: 11	Train loss: 1.4031	Valid loss: 1.2734	Train accuracy: 51.99	Valid accuracy: 54.19
04:05:00 --- Epoch: 12	Train loss: 1.3739	Valid loss: 1.2751	Train accuracy: 53.23	Valid accuracy: 54.99
04:05:39 --- Epoch: 13	Train loss: 1.3775	Valid loss: 1.3434	Train accuracy: 49.59	Valid accuracy: 52.89
04:06:12 --- Epoch: 14	Train loss: 1.3638	Valid loss: 1.2668	Train accuracy: 52.80	Valid accuracy: 54.91
04:06:48 --- Epoch: 15	Train loss: 1.3547	Valid loss: 1.2473	Train accuracy: 53.78	Valid accuracy: 55.96
04:07:26 --- Epoch: 16	Train loss: 1.3501	Valid loss: 1.3082	Train accuracy: 52.15	Valid accuracy: 53.85
04:08:00 --- Epoch: 17	Train loss: 1.3432	Valid loss: 1.3046	Train accuracy: 52.59	Valid accuracy: 53.98
04:08:35 --- Epoch: 18	Train loss: 1.3362	Valid loss: 1.2518	Train accuracy: 53.02	Valid accuracy: 55.58
04:09:13 --- Epoch: 19	Train loss: 1.3273	Valid loss: 1.2596	Train accuracy: 53.09	Valid accuracy: 55.49
