----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             456
              Tanh-2            [-1, 6, 28, 28]               0
         AvgPool2d-3            [-1, 6, 14, 14]               0
            Conv2d-4           [-1, 16, 10, 10]           2,416
       BatchNorm2d-5           [-1, 16, 10, 10]              32
              Tanh-6           [-1, 16, 10, 10]               0
 AdaptiveAvgPool2d-7             [-1, 16, 1, 1]               0
            Linear-8                    [-1, 1]              16
              ReLU-9                    [-1, 1]               0
           Linear-10                   [-1, 16]              16
          Sigmoid-11                   [-1, 16]               0
          SEBlock-12           [-1, 16, 10, 10]               0
        AvgPool2d-13             [-1, 16, 5, 5]               0
          Flatten-14                  [-1, 400]               0
           Linear-15                  [-1, 120]          48,120
             Tanh-16                  [-1, 120]               0
           Linear-17                   [-1, 84]          10,164
             Tanh-18                   [-1, 84]               0
           Linear-19                   [-1, 10]             850
================================================================
Total params: 62,070
Trainable params: 62,070
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.14
Params size (MB): 0.24
Estimated Total Size (MB): 0.39
----------------------------------------------------------------
#Params: 0.1M
02:58:10 --- Start training loop	training on: cuda
02:58:49 --- Epoch: 1	Train loss: 1.8233	Valid loss: 1.5270	Train accuracy: 40.89	Valid accuracy: 44.67
02:59:23 --- Epoch: 2	Train loss: 1.6263	Valid loss: 1.5431	Train accuracy: 39.67	Valid accuracy: 43.52
02:59:56 --- Epoch: 3	Train loss: 1.5589	Valid loss: 1.4270	Train accuracy: 44.04	Valid accuracy: 47.01
03:00:31 --- Epoch: 4	Train loss: 1.5170	Valid loss: 1.3819	Train accuracy: 46.35	Valid accuracy: 50.05
03:01:05 --- Epoch: 5	Train loss: 1.4725	Valid loss: 1.3529	Train accuracy: 47.45	Valid accuracy: 51.40
03:01:38 --- Epoch: 6	Train loss: 1.4427	Valid loss: 1.3270	Train accuracy: 49.71	Valid accuracy: 53.03
03:02:12 --- Epoch: 7	Train loss: 1.4166	Valid loss: 1.3343	Train accuracy: 48.92	Valid accuracy: 51.16
03:02:45 --- Epoch: 8	Train loss: 1.3920	Valid loss: 1.3062	Train accuracy: 50.89	Valid accuracy: 53.78
03:03:22 --- Epoch: 9	Train loss: 1.3745	Valid loss: 1.3079	Train accuracy: 50.96	Valid accuracy: 53.38
03:04:01 --- Epoch: 10	Train loss: 1.3505	Valid loss: 1.2538	Train accuracy: 53.05	Valid accuracy: 55.69
03:04:34 --- Epoch: 11	Train loss: 1.3366	Valid loss: 1.2606	Train accuracy: 52.93	Valid accuracy: 55.55
03:05:11 --- Epoch: 12	Train loss: 1.3234	Valid loss: 1.2284	Train accuracy: 54.14	Valid accuracy: 56.59
03:05:50 --- Epoch: 13	Train loss: 1.3053	Valid loss: 1.2177	Train accuracy: 53.91	Valid accuracy: 56.50
03:06:24 --- Epoch: 14	Train loss: 1.2887	Valid loss: 1.2440	Train accuracy: 54.31	Valid accuracy: 55.78
03:07:01 --- Epoch: 15	Train loss: 1.2898	Valid loss: 1.2093	Train accuracy: 55.55	Valid accuracy: 58.08
03:07:41 --- Epoch: 16	Train loss: 1.2720	Valid loss: 1.1867	Train accuracy: 55.61	Valid accuracy: 58.27
03:08:14 --- Epoch: 17	Train loss: 1.2760	Valid loss: 1.1809	Train accuracy: 55.94	Valid accuracy: 58.36
03:08:52 --- Epoch: 18	Train loss: 1.2501	Valid loss: 1.1582	Train accuracy: 56.35	Valid accuracy: 59.02
03:09:32 --- Epoch: 19	Train loss: 1.2568	Valid loss: 1.1701	Train accuracy: 56.73	Valid accuracy: 59.18
03:10:06 --- Epoch: 20	Train loss: 1.2574	Valid loss: 1.1645	Train accuracy: 57.28	Valid accuracy: 58.79
03:10:39 --- Epoch: 21	Train loss: 1.2537	Valid loss: 1.2139	Train accuracy: 54.36	Valid accuracy: 56.29
03:11:15 --- Epoch: 22	Train loss: 1.2416	Valid loss: 1.1662	Train accuracy: 57.10	Valid accuracy: 58.81
03:11:48 --- Epoch: 23	Train loss: 1.2278	Valid loss: 1.2188	Train accuracy: 54.78	Valid accuracy: 57.54
03:12:25 --- Epoch: 24	Train loss: 1.2290	Valid loss: 1.1828	Train accuracy: 56.73	Valid accuracy: 58.50
03:13:05 --- Epoch: 25	Train loss: 1.2345	Valid loss: 1.1378	Train accuracy: 57.62	Valid accuracy: 60.60
03:13:38 --- Epoch: 26	Train loss: 1.2223	Valid loss: 1.1981	Train accuracy: 56.10	Valid accuracy: 58.60
03:14:15 --- Epoch: 27	Train loss: 1.2142	Valid loss: 1.2323	Train accuracy: 55.45	Valid accuracy: 57.06
03:14:55 --- Epoch: 28	Train loss: 1.2084	Valid loss: 1.1823	Train accuracy: 56.56	Valid accuracy: 58.81
03:15:28 --- Epoch: 29	Train loss: 1.2177	Valid loss: 1.1718	Train accuracy: 57.92	Valid accuracy: 58.47
03:16:05 --- Epoch: 30	Train loss: 1.2028	Valid loss: 1.1375	Train accuracy: 57.29	Valid accuracy: 59.74
03:16:45 --- Epoch: 31	Train loss: 1.2017	Valid loss: 1.1631	Train accuracy: 57.28	Valid accuracy: 59.32
