----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             456
              Tanh-2            [-1, 6, 28, 28]               0
         AvgPool2d-3            [-1, 6, 14, 14]               0
            Conv2d-4           [-1, 16, 10, 10]           2,416
              Tanh-5           [-1, 16, 10, 10]               0
 AdaptiveAvgPool2d-6             [-1, 16, 1, 1]               0
            Linear-7                    [-1, 1]              16
              ReLU-8                    [-1, 1]               0
            Linear-9                   [-1, 16]              16
          Sigmoid-10                   [-1, 16]               0
          SEBlock-11           [-1, 16, 10, 10]               0
        AvgPool2d-12             [-1, 16, 5, 5]               0
          Flatten-13                  [-1, 400]               0
           Linear-14                  [-1, 120]          48,120
             Tanh-15                  [-1, 120]               0
           Linear-16                   [-1, 84]          10,164
             Tanh-17                   [-1, 84]               0
           Linear-18                   [-1, 10]             850
================================================================
Total params: 62,038
Trainable params: 62,038
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.13
Params size (MB): 0.24
Estimated Total Size (MB): 0.38
----------------------------------------------------------------
#Params: 0.1M
00:58:16 --- Start training loop	training on: cuda
00:58:50 --- Epoch: 1	Train loss: 1.8844	Valid loss: 1.6144	Train accuracy: 37.64	Valid accuracy: 40.23
00:59:23 --- Epoch: 2	Train loss: 1.6529	Valid loss: 1.5875	Train accuracy: 38.62	Valid accuracy: 41.49
01:00:01 --- Epoch: 3	Train loss: 1.5681	Valid loss: 1.4757	Train accuracy: 42.79	Valid accuracy: 45.90
01:00:34 --- Epoch: 4	Train loss: 1.5031	Valid loss: 1.3849	Train accuracy: 46.47	Valid accuracy: 49.53
01:01:10 --- Epoch: 5	Train loss: 1.4734	Valid loss: 1.3581	Train accuracy: 48.80	Valid accuracy: 51.79
01:01:50 --- Epoch: 6	Train loss: 1.4364	Valid loss: 1.3653	Train accuracy: 46.83	Valid accuracy: 51.00
01:02:23 --- Epoch: 7	Train loss: 1.4117	Valid loss: 1.3091	Train accuracy: 50.61	Valid accuracy: 53.07
01:02:56 --- Epoch: 8	Train loss: 1.3861	Valid loss: 1.2572	Train accuracy: 52.39	Valid accuracy: 55.09
01:03:31 --- Epoch: 9	Train loss: 1.3711	Valid loss: 1.3028	Train accuracy: 51.49	Valid accuracy: 53.70
01:04:04 --- Epoch: 10	Train loss: 1.3493	Valid loss: 1.2671	Train accuracy: 52.61	Valid accuracy: 54.56
01:04:37 --- Epoch: 11	Train loss: 1.3418	Valid loss: 1.2389	Train accuracy: 53.40	Valid accuracy: 55.91
