----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             456
              ReLU-2            [-1, 6, 28, 28]               0
         MaxPool2d-3            [-1, 6, 14, 14]               0
            Conv2d-4           [-1, 16, 10, 10]           2,416
              ReLU-5           [-1, 16, 10, 10]               0
         MaxPool2d-6             [-1, 16, 5, 5]               0
           Flatten-7                  [-1, 400]               0
            Linear-8                  [-1, 120]          48,120
              ReLU-9                  [-1, 120]               0
           Linear-10                   [-1, 84]          10,164
             ReLU-11                   [-1, 84]               0
           Linear-12                   [-1, 10]             850
================================================================
Total params: 62,006
Trainable params: 62,006
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.11
Params size (MB): 0.24
Estimated Total Size (MB): 0.36
----------------------------------------------------------------
#Params: 0.1M
04:56:38 --- Start training loop	training on: cuda
04:57:14 --- Epoch: 1	Train loss: 2.0265	Valid loss: 1.9243	Train accuracy: 25.58	Valid accuracy: 26.95
04:57:52 --- Epoch: 2	Train loss: 1.9050	Valid loss: 1.8958	Train accuracy: 28.42	Valid accuracy: 29.47
04:58:25 --- Epoch: 3	Train loss: 1.8757	Valid loss: 1.7891	Train accuracy: 30.79	Valid accuracy: 32.86
04:59:02 --- Epoch: 4	Train loss: 1.8570	Valid loss: 1.7925	Train accuracy: 32.20	Valid accuracy: 34.63
04:59:41 --- Epoch: 5	Train loss: 1.8414	Valid loss: 1.7773	Train accuracy: 30.56	Valid accuracy: 31.81
05:00:14 --- Epoch: 6	Train loss: 1.8416	Valid loss: 1.7540	Train accuracy: 33.13	Valid accuracy: 34.85
05:00:51 --- Epoch: 7	Train loss: 1.8045	Valid loss: 1.7852	Train accuracy: 31.91	Valid accuracy: 33.29
05:01:28 --- Epoch: 8	Train loss: 1.8109	Valid loss: 1.7710	Train accuracy: 32.80	Valid accuracy: 34.55
05:02:07 --- Epoch: 9	Train loss: 1.7763	Valid loss: 1.6556	Train accuracy: 35.75	Valid accuracy: 37.64
05:02:40 --- Epoch: 10	Train loss: 1.7797	Valid loss: 1.7444	Train accuracy: 34.61	Valid accuracy: 35.77
05:03:16 --- Epoch: 11	Train loss: 1.7652	Valid loss: 1.6786	Train accuracy: 35.44	Valid accuracy: 36.77
05:03:55 --- Epoch: 12	Train loss: 1.7471	Valid loss: 1.6793	Train accuracy: 35.47	Valid accuracy: 38.53
05:04:28 --- Epoch: 13	Train loss: 1.7353	Valid loss: 1.6396	Train accuracy: 36.77	Valid accuracy: 38.20
05:05:05 --- Epoch: 14	Train loss: 1.7337	Valid loss: 1.7024	Train accuracy: 37.09	Valid accuracy: 38.16
05:05:44 --- Epoch: 15	Train loss: 1.7316	Valid loss: 1.6615	Train accuracy: 38.38	Valid accuracy: 39.63
05:06:17 --- Epoch: 16	Train loss: 1.7116	Valid loss: 1.6888	Train accuracy: 36.51	Valid accuracy: 38.58
05:06:53 --- Epoch: 17	Train loss: 1.6968	Valid loss: 1.6928	Train accuracy: 37.76	Valid accuracy: 39.41
05:07:32 --- Epoch: 18	Train loss: 1.6874	Valid loss: 1.6484	Train accuracy: 38.38	Valid accuracy: 40.30
05:08:05 --- Epoch: 19	Train loss: 1.7017	Valid loss: 1.6705	Train accuracy: 38.50	Valid accuracy: 40.40
