----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             456
       BatchNorm2d-2            [-1, 6, 28, 28]              12
              ReLU-3            [-1, 6, 28, 28]               0
 AdaptiveAvgPool2d-4              [-1, 6, 1, 1]               0
            Linear-5                    [-1, 0]               0
              ReLU-6                    [-1, 0]               0
            Linear-7                    [-1, 6]               0
           Sigmoid-8                    [-1, 6]               0
           SEBlock-9            [-1, 6, 28, 28]               0
        MaxPool2d-10            [-1, 6, 14, 14]               0
           Conv2d-11           [-1, 16, 10, 10]           2,416
             ReLU-12           [-1, 16, 10, 10]               0
        MaxPool2d-13             [-1, 16, 5, 5]               0
          Flatten-14                  [-1, 400]               0
           Linear-15                  [-1, 120]          48,120
             ReLU-16                  [-1, 120]               0
           Linear-17                   [-1, 84]          10,164
             ReLU-18                   [-1, 84]               0
           Linear-19                   [-1, 10]             850
================================================================
Total params: 62,018
Trainable params: 62,018
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.19
Params size (MB): 0.24
Estimated Total Size (MB): 0.43
----------------------------------------------------------------
#Params: 0.1M
08:57:12 --- Start training loop	training on: cuda
08:57:45 --- Epoch: 1	Train loss: 1.8369	Valid loss: 1.4968	Train accuracy: 42.35	Valid accuracy: 45.60
08:58:21 --- Epoch: 2	Train loss: 1.5420	Valid loss: 1.4068	Train accuracy: 46.87	Valid accuracy: 49.53
08:58:55 --- Epoch: 3	Train loss: 1.4457	Valid loss: 1.3520	Train accuracy: 50.03	Valid accuracy: 52.61
08:59:29 --- Epoch: 4	Train loss: 1.4047	Valid loss: 1.3084	Train accuracy: 50.98	Valid accuracy: 53.99
09:00:05 --- Epoch: 5	Train loss: 1.3516	Valid loss: 1.2995	Train accuracy: 51.20	Valid accuracy: 54.97
09:00:38 --- Epoch: 6	Train loss: 1.3155	Valid loss: 1.2695	Train accuracy: 52.86	Valid accuracy: 55.98
09:01:12 --- Epoch: 7	Train loss: 1.3039	Valid loss: 1.2117	Train accuracy: 55.19	Valid accuracy: 57.77
09:01:46 --- Epoch: 8	Train loss: 1.2928	Valid loss: 1.2543	Train accuracy: 53.39	Valid accuracy: 55.20
09:02:20 --- Epoch: 9	Train loss: 1.2842	Valid loss: 1.2148	Train accuracy: 55.66	Valid accuracy: 58.06
09:02:54 --- Epoch: 10	Train loss: 1.2544	Valid loss: 1.1937	Train accuracy: 56.28	Valid accuracy: 58.66
09:03:30 --- Epoch: 11	Train loss: 1.2558	Valid loss: 1.1590	Train accuracy: 56.02	Valid accuracy: 58.53
09:04:03 --- Epoch: 12	Train loss: 1.2469	Valid loss: 1.1657	Train accuracy: 57.50	Valid accuracy: 59.92
09:04:37 --- Epoch: 13	Train loss: 1.2250	Valid loss: 1.1247	Train accuracy: 59.71	Valid accuracy: 61.54
09:05:13 --- Epoch: 14	Train loss: 1.2419	Valid loss: 1.1590	Train accuracy: 58.35	Valid accuracy: 60.38
09:05:46 --- Epoch: 15	Train loss: 1.2237	Valid loss: 1.1229	Train accuracy: 59.42	Valid accuracy: 61.24
09:06:20 --- Epoch: 16	Train loss: 1.2079	Valid loss: 1.1509	Train accuracy: 58.14	Valid accuracy: 60.35
09:06:54 --- Epoch: 17	Train loss: 1.2268	Valid loss: 1.1560	Train accuracy: 58.13	Valid accuracy: 59.73
