----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             456
              ReLU-2            [-1, 6, 28, 28]               0
         MaxPool2d-3            [-1, 6, 14, 14]               0
            Conv2d-4           [-1, 16, 10, 10]           2,416
       BatchNorm2d-5           [-1, 16, 10, 10]              32
              ReLU-6           [-1, 16, 10, 10]               0
         MaxPool2d-7             [-1, 16, 5, 5]               0
           Flatten-8                  [-1, 400]               0
            Linear-9                  [-1, 120]          48,120
             ReLU-10                  [-1, 120]               0
           Linear-11                   [-1, 84]          10,164
             ReLU-12                   [-1, 84]               0
           Linear-13                   [-1, 10]             850
================================================================
Total params: 62,038
Trainable params: 62,038
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.13
Params size (MB): 0.24
Estimated Total Size (MB): 0.38
----------------------------------------------------------------
#Params: 0.1M
06:56:33 --- Start training loop	training on: cuda
06:57:11 --- Epoch: 1	Train loss: 1.7087	Valid loss: 1.5057	Train accuracy: 42.29	Valid accuracy: 45.19
06:57:44 --- Epoch: 2	Train loss: 1.4959	Valid loss: 1.3364	Train accuracy: 49.14	Valid accuracy: 52.47
06:58:21 --- Epoch: 3	Train loss: 1.4059	Valid loss: 1.2906	Train accuracy: 51.23	Valid accuracy: 54.44
06:59:00 --- Epoch: 4	Train loss: 1.3456	Valid loss: 1.2241	Train accuracy: 53.76	Valid accuracy: 56.68
06:59:33 --- Epoch: 5	Train loss: 1.3134	Valid loss: 1.2239	Train accuracy: 54.45	Valid accuracy: 57.29
07:00:10 --- Epoch: 6	Train loss: 1.2802	Valid loss: 1.1475	Train accuracy: 57.10	Valid accuracy: 59.95
07:00:48 --- Epoch: 7	Train loss: 1.2592	Valid loss: 1.2438	Train accuracy: 54.70	Valid accuracy: 56.67
07:01:22 --- Epoch: 8	Train loss: 1.2429	Valid loss: 1.1360	Train accuracy: 56.79	Valid accuracy: 59.28
07:01:59 --- Epoch: 9	Train loss: 1.2282	Valid loss: 1.1697	Train accuracy: 56.94	Valid accuracy: 58.69
07:02:38 --- Epoch: 10	Train loss: 1.2063	Valid loss: 1.1503	Train accuracy: 56.91	Valid accuracy: 59.18
07:03:11 --- Epoch: 11	Train loss: 1.1947	Valid loss: 1.1102	Train accuracy: 59.21	Valid accuracy: 61.49
07:03:48 --- Epoch: 12	Train loss: 1.1903	Valid loss: 1.1377	Train accuracy: 58.09	Valid accuracy: 60.29
07:04:27 --- Epoch: 13	Train loss: 1.1732	Valid loss: 1.0651	Train accuracy: 60.24	Valid accuracy: 62.35
07:05:00 --- Epoch: 14	Train loss: 1.1689	Valid loss: 1.0549	Train accuracy: 60.62	Valid accuracy: 62.89
07:05:37 --- Epoch: 15	Train loss: 1.1514	Valid loss: 1.0535	Train accuracy: 61.11	Valid accuracy: 63.13
07:06:17 --- Epoch: 16	Train loss: 1.1407	Valid loss: 1.1077	Train accuracy: 58.43	Valid accuracy: 61.49
