----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             456
              ReLU-2            [-1, 6, 28, 28]               0
         MaxPool2d-3            [-1, 6, 14, 14]               0
            Conv2d-4           [-1, 16, 10, 10]           2,416
       BatchNorm2d-5           [-1, 16, 10, 10]              32
              ReLU-6           [-1, 16, 10, 10]               0
 AdaptiveAvgPool2d-7             [-1, 16, 1, 1]               0
            Linear-8                    [-1, 1]              16
              ReLU-9                    [-1, 1]               0
           Linear-10                   [-1, 16]              16
          Sigmoid-11                   [-1, 16]               0
          SEBlock-12           [-1, 16, 10, 10]               0
        MaxPool2d-13             [-1, 16, 5, 5]               0
          Flatten-14                  [-1, 400]               0
           Linear-15                  [-1, 120]          48,120
             ReLU-16                  [-1, 120]               0
           Linear-17                   [-1, 84]          10,164
             ReLU-18                   [-1, 84]               0
           Linear-19                   [-1, 10]             850
================================================================
Total params: 62,070
Trainable params: 62,070
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.14
Params size (MB): 0.24
Estimated Total Size (MB): 0.39
----------------------------------------------------------------
#Params: 0.1M
07:57:21 --- Start training loop	training on: cuda
07:57:55 --- Epoch: 1	Train loss: 1.7247	Valid loss: 1.4345	Train accuracy: 44.14	Valid accuracy: 46.72
07:58:28 --- Epoch: 2	Train loss: 1.4441	Valid loss: 1.3189	Train accuracy: 49.55	Valid accuracy: 53.09
07:59:04 --- Epoch: 3	Train loss: 1.3459	Valid loss: 1.2264	Train accuracy: 53.24	Valid accuracy: 56.22
07:59:44 --- Epoch: 4	Train loss: 1.2871	Valid loss: 1.1866	Train accuracy: 55.79	Valid accuracy: 58.54
08:00:17 --- Epoch: 5	Train loss: 1.2447	Valid loss: 1.1213	Train accuracy: 56.83	Valid accuracy: 60.48
08:00:51 --- Epoch: 6	Train loss: 1.2137	Valid loss: 1.1542	Train accuracy: 56.95	Valid accuracy: 59.37
08:01:25 --- Epoch: 7	Train loss: 1.1845	Valid loss: 1.0681	Train accuracy: 60.27	Valid accuracy: 62.37
08:01:59 --- Epoch: 8	Train loss: 1.1660	Valid loss: 1.1001	Train accuracy: 59.48	Valid accuracy: 61.39
08:02:35 --- Epoch: 9	Train loss: 1.1422	Valid loss: 1.0653	Train accuracy: 60.74	Valid accuracy: 63.11
08:03:15 --- Epoch: 10	Train loss: 1.1335	Valid loss: 1.0478	Train accuracy: 61.44	Valid accuracy: 62.99
08:03:48 --- Epoch: 11	Train loss: 1.1177	Valid loss: 1.0262	Train accuracy: 62.34	Valid accuracy: 63.77
