----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             456
              ReLU-2            [-1, 6, 28, 28]               0
         MaxPool2d-3            [-1, 6, 14, 14]               0
            Conv2d-4           [-1, 16, 10, 10]           2,416
       BatchNorm2d-5           [-1, 16, 10, 10]              32
              ReLU-6           [-1, 16, 10, 10]               0
 AdaptiveAvgPool2d-7             [-1, 16, 1, 1]               0
            Linear-8                    [-1, 1]              16
              ReLU-9                    [-1, 1]               0
           Linear-10                   [-1, 16]              16
          Sigmoid-11                   [-1, 16]               0
          SEBlock-12           [-1, 16, 10, 10]               0
        MaxPool2d-13             [-1, 16, 5, 5]               0
          Flatten-14                  [-1, 400]               0
           Linear-15                  [-1, 120]          48,120
             ReLU-16                  [-1, 120]               0
           Linear-17                   [-1, 84]          10,164
             ReLU-18                   [-1, 84]               0
           Linear-19                   [-1, 10]             850
================================================================
Total params: 62,070
Trainable params: 62,070
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.14
Params size (MB): 0.24
Estimated Total Size (MB): 0.39
----------------------------------------------------------------
#Params: 0.1M
12:01:16 --- Start training loop	training on: cuda
12:01:55 --- Epoch: 1	Train loss: 1.7163	Valid loss: 1.5279	Train accuracy: 42.74	Valid accuracy: 45.09
12:02:38 --- Epoch: 2	Train loss: 1.4617	Valid loss: 1.3306	Train accuracy: 48.28	Valid accuracy: 51.65
12:03:13 --- Epoch: 3	Train loss: 1.3725	Valid loss: 1.2331	Train accuracy: 52.69	Valid accuracy: 55.37
12:03:48 --- Epoch: 4	Train loss: 1.3075	Valid loss: 1.1703	Train accuracy: 56.12	Valid accuracy: 58.51
12:04:27 --- Epoch: 5	Train loss: 1.2606	Valid loss: 1.1311	Train accuracy: 57.32	Valid accuracy: 60.32
12:05:02 --- Epoch: 6	Train loss: 1.2132	Valid loss: 1.2136	Train accuracy: 54.54	Valid accuracy: 57.41
12:05:38 --- Epoch: 7	Train loss: 1.1889	Valid loss: 1.0597	Train accuracy: 59.41	Valid accuracy: 62.37
12:06:19 --- Epoch: 8	Train loss: 1.1546	Valid loss: 1.1058	Train accuracy: 57.64	Valid accuracy: 60.64
12:06:57 --- Epoch: 9	Train loss: 1.1349	Valid loss: 1.0350	Train accuracy: 60.72	Valid accuracy: 63.45
12:07:34 --- Epoch: 10	Train loss: 1.1182	Valid loss: 1.0942	Train accuracy: 58.90	Valid accuracy: 61.31
12:08:11 --- Epoch: 11	Train loss: 1.0962	Valid loss: 1.0027	Train accuracy: 62.72	Valid accuracy: 64.87
12:08:50 --- Epoch: 12	Train loss: 1.0891	Valid loss: 0.9786	Train accuracy: 62.99	Valid accuracy: 66.14
12:09:26 --- Epoch: 13	Train loss: 1.0802	Valid loss: 0.9785	Train accuracy: 63.12	Valid accuracy: 65.07
12:10:06 --- Epoch: 14	Train loss: 1.0652	Valid loss: 0.9790	Train accuracy: 63.41	Valid accuracy: 65.45
12:10:49 --- Epoch: 15	Train loss: 1.0543	Valid loss: 0.9627	Train accuracy: 64.38	Valid accuracy: 66.28
12:11:25 --- Epoch: 16	Train loss: 1.0425	Valid loss: 0.9947	Train accuracy: 63.32	Valid accuracy: 65.46
12:12:02 --- Epoch: 17	Train loss: 1.0318	Valid loss: 0.9552	Train accuracy: 64.49	Valid accuracy: 66.27
12:12:43 --- Epoch: 18	Train loss: 1.0316	Valid loss: 0.9592	Train accuracy: 64.31	Valid accuracy: 66.87
12:13:19 --- Epoch: 19	Train loss: 1.0192	Valid loss: 0.9165	Train accuracy: 65.66	Valid accuracy: 67.81
12:14:00 --- Epoch: 20	Train loss: 1.0089	Valid loss: 0.9743	Train accuracy: 63.59	Valid accuracy: 65.62
12:14:43 --- Epoch: 21	Train loss: 1.0153	Valid loss: 0.9857	Train accuracy: 63.90	Valid accuracy: 65.05
12:15:22 --- Epoch: 22	Train loss: 1.0003	Valid loss: 0.9134	Train accuracy: 66.18	Valid accuracy: 68.28
12:16:02 --- Epoch: 23	Train loss: 0.9952	Valid loss: 0.8999	Train accuracy: 66.13	Valid accuracy: 68.50
