----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             456
       BatchNorm2d-2            [-1, 6, 28, 28]              12
              Tanh-3            [-1, 6, 28, 28]               0
 AdaptiveAvgPool2d-4              [-1, 6, 1, 1]               0
            Linear-5                    [-1, 0]               0
              ReLU-6                    [-1, 0]               0
            Linear-7                    [-1, 6]               0
           Sigmoid-8                    [-1, 6]               0
           SEBlock-9            [-1, 6, 28, 28]               0
        AvgPool2d-10            [-1, 6, 14, 14]               0
           Conv2d-11           [-1, 16, 10, 10]           2,416
             Tanh-12           [-1, 16, 10, 10]               0
        AvgPool2d-13             [-1, 16, 5, 5]               0
          Flatten-14                  [-1, 400]               0
           Linear-15                  [-1, 120]          48,120
             Tanh-16                  [-1, 120]               0
           Linear-17                   [-1, 84]          10,164
             Tanh-18                   [-1, 84]               0
           Linear-19                   [-1, 10]             850
================================================================
Total params: 62,018
Trainable params: 62,018
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.19
Params size (MB): 0.24
Estimated Total Size (MB): 0.43
----------------------------------------------------------------
#Params: 0.1M
01:52:03 --- Start training loop	training on: cuda
01:52:41 --- Epoch: 1	Train loss: 1.8474	Valid loss: 1.6243	Train accuracy: 37.59	Valid accuracy: 41.55
01:53:15 --- Epoch: 2	Train loss: 1.6518	Valid loss: 1.5154	Train accuracy: 41.23	Valid accuracy: 44.72
01:53:49 --- Epoch: 3	Train loss: 1.5805	Valid loss: 1.4908	Train accuracy: 43.59	Valid accuracy: 45.91
01:54:25 --- Epoch: 4	Train loss: 1.5352	Valid loss: 1.4341	Train accuracy: 45.14	Valid accuracy: 48.47
01:54:59 --- Epoch: 5	Train loss: 1.5085	Valid loss: 1.4153	Train accuracy: 47.29	Valid accuracy: 49.49
01:55:35 --- Epoch: 6	Train loss: 1.4757	Valid loss: 1.3707	Train accuracy: 47.53	Valid accuracy: 49.97
01:56:14 --- Epoch: 7	Train loss: 1.4525	Valid loss: 1.3158	Train accuracy: 49.93	Valid accuracy: 53.01
01:56:48 --- Epoch: 8	Train loss: 1.4335	Valid loss: 1.3421	Train accuracy: 49.33	Valid accuracy: 51.78
01:57:22 --- Epoch: 9	Train loss: 1.4290	Valid loss: 1.3352	Train accuracy: 50.19	Valid accuracy: 52.57
01:57:58 --- Epoch: 10	Train loss: 1.4133	Valid loss: 1.3383	Train accuracy: 48.95	Valid accuracy: 51.97
01:58:32 --- Epoch: 11	Train loss: 1.4028	Valid loss: 1.3133	Train accuracy: 49.99	Valid accuracy: 52.53
01:59:07 --- Epoch: 12	Train loss: 1.3921	Valid loss: 1.2876	Train accuracy: 51.60	Valid accuracy: 53.58
01:59:44 --- Epoch: 13	Train loss: 1.3823	Valid loss: 1.3187	Train accuracy: 50.90	Valid accuracy: 52.22
02:00:18 --- Epoch: 14	Train loss: 1.3758	Valid loss: 1.2789	Train accuracy: 52.52	Valid accuracy: 54.24
02:00:52 --- Epoch: 15	Train loss: 1.3661	Valid loss: 1.3085	Train accuracy: 51.39	Valid accuracy: 53.42
02:01:29 --- Epoch: 16	Train loss: 1.3575	Valid loss: 1.3781	Train accuracy: 48.98	Valid accuracy: 51.70
02:02:02 --- Epoch: 17	Train loss: 1.3534	Valid loss: 1.3237	Train accuracy: 51.09	Valid accuracy: 52.69
02:02:37 --- Epoch: 18	Train loss: 1.3538	Valid loss: 1.2950	Train accuracy: 52.40	Valid accuracy: 54.39
02:03:12 --- Epoch: 19	Train loss: 1.3436	Valid loss: 1.2807	Train accuracy: 52.56	Valid accuracy: 54.91
02:03:46 --- Epoch: 20	Train loss: 1.3249	Valid loss: 1.3080	Train accuracy: 51.53	Valid accuracy: 53.44
02:04:25 --- Epoch: 21	Train loss: 1.3297	Valid loss: 1.3416	Train accuracy: 51.68	Valid accuracy: 53.42
02:04:59 --- Epoch: 22	Train loss: 1.3213	Valid loss: 1.2267	Train accuracy: 54.70	Valid accuracy: 55.87
02:05:33 --- Epoch: 23	Train loss: 1.3156	Valid loss: 1.3016	Train accuracy: 53.00	Valid accuracy: 55.06
02:06:10 --- Epoch: 24	Train loss: 1.3094	Valid loss: 1.2463	Train accuracy: 54.33	Valid accuracy: 56.37
