----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             456
              Tanh-2            [-1, 6, 28, 28]               0
         AvgPool2d-3            [-1, 6, 14, 14]               0
            Conv2d-4           [-1, 16, 10, 10]           2,416
       BatchNorm2d-5           [-1, 16, 10, 10]              32
              Tanh-6           [-1, 16, 10, 10]               0
         AvgPool2d-7             [-1, 16, 5, 5]               0
           Flatten-8                  [-1, 400]               0
            Linear-9                  [-1, 120]          48,120
             Tanh-10                  [-1, 120]               0
           Linear-11                   [-1, 84]          10,164
             Tanh-12                   [-1, 84]               0
           Linear-13                   [-1, 10]             850
================================================================
Total params: 62,038
Trainable params: 62,038
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.13
Params size (MB): 0.24
Estimated Total Size (MB): 0.38
----------------------------------------------------------------
#Params: 0.1M
23:51:27 --- Start training loop	training on: cuda
23:52:04 --- Epoch: 1	Train loss: 1.8443	Valid loss: 1.6139	Train accuracy: 38.99	Valid accuracy: 41.80
23:52:44 --- Epoch: 2	Train loss: 1.6184	Valid loss: 1.5435	Train accuracy: 40.23	Valid accuracy: 42.57
23:53:18 --- Epoch: 3	Train loss: 1.5435	Valid loss: 1.3988	Train accuracy: 46.44	Valid accuracy: 50.03
23:53:56 --- Epoch: 4	Train loss: 1.4901	Valid loss: 1.4301	Train accuracy: 45.93	Valid accuracy: 49.44
23:54:35 --- Epoch: 5	Train loss: 1.4722	Valid loss: 1.3476	Train accuracy: 48.54	Valid accuracy: 51.59
23:55:09 --- Epoch: 6	Train loss: 1.4455	Valid loss: 1.3495	Train accuracy: 48.96	Valid accuracy: 51.37
23:55:46 --- Epoch: 7	Train loss: 1.4174	Valid loss: 1.4342	Train accuracy: 46.78	Valid accuracy: 49.35
23:56:26 --- Epoch: 8	Train loss: 1.3963	Valid loss: 1.3002	Train accuracy: 50.87	Valid accuracy: 53.56
23:56:59 --- Epoch: 9	Train loss: 1.3699	Valid loss: 1.2984	Train accuracy: 50.84	Valid accuracy: 53.59
23:57:36 --- Epoch: 10	Train loss: 1.3545	Valid loss: 1.3038	Train accuracy: 51.67	Valid accuracy: 53.71
23:58:16 --- Epoch: 11	Train loss: 1.3517	Valid loss: 1.2792	Train accuracy: 52.25	Valid accuracy: 56.30
23:58:49 --- Epoch: 12	Train loss: 1.3355	Valid loss: 1.2780	Train accuracy: 51.60	Valid accuracy: 54.00
23:59:26 --- Epoch: 13	Train loss: 1.3206	Valid loss: 1.2317	Train accuracy: 53.65	Valid accuracy: 56.86
00:00:05 --- Epoch: 14	Train loss: 1.3255	Valid loss: 1.2348	Train accuracy: 53.90	Valid accuracy: 56.54
00:00:38 --- Epoch: 15	Train loss: 1.3097	Valid loss: 1.2322	Train accuracy: 53.06	Valid accuracy: 54.91
00:01:15 --- Epoch: 16	Train loss: 1.3087	Valid loss: 1.2196	Train accuracy: 54.27	Valid accuracy: 56.91
00:01:54 --- Epoch: 17	Train loss: 1.3053	Valid loss: 1.2707	Train accuracy: 52.53	Valid accuracy: 55.36
00:02:28 --- Epoch: 18	Train loss: 1.2937	Valid loss: 1.1645	Train accuracy: 55.90	Valid accuracy: 58.62
00:03:06 --- Epoch: 19	Train loss: 1.2878	Valid loss: 1.2128	Train accuracy: 54.26	Valid accuracy: 57.17
00:03:48 --- Epoch: 20	Train loss: 1.2844	Valid loss: 1.1774	Train accuracy: 56.53	Valid accuracy: 57.99
00:04:24 --- Epoch: 21	Train loss: 1.2752	Valid loss: 1.1570	Train accuracy: 56.36	Valid accuracy: 58.73
00:05:03 --- Epoch: 22	Train loss: 1.2740	Valid loss: 1.1786	Train accuracy: 55.50	Valid accuracy: 57.83
00:05:46 --- Epoch: 23	Train loss: 1.2760	Valid loss: 1.2014	Train accuracy: 55.01	Valid accuracy: 57.77
00:06:20 --- Epoch: 24	Train loss: 1.2593	Valid loss: 1.1896	Train accuracy: 55.52	Valid accuracy: 58.95
