----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             456
              Tanh-2            [-1, 6, 28, 28]               0
         AvgPool2d-3            [-1, 6, 14, 14]               0
            Conv2d-4           [-1, 16, 10, 10]           2,416
       BatchNorm2d-5           [-1, 16, 10, 10]              32
              Tanh-6           [-1, 16, 10, 10]               0
 AdaptiveAvgPool2d-7             [-1, 16, 1, 1]               0
            Linear-8                    [-1, 1]              16
              ReLU-9                    [-1, 1]               0
           Linear-10                   [-1, 16]              16
          Sigmoid-11                   [-1, 16]               0
          SEBlock-12           [-1, 16, 10, 10]               0
        AvgPool2d-13             [-1, 16, 5, 5]               0
          Flatten-14                  [-1, 400]               0
           Linear-15                  [-1, 120]          48,120
             Tanh-16                  [-1, 120]               0
           Linear-17                   [-1, 84]          10,164
             Tanh-18                   [-1, 84]               0
           Linear-19                   [-1, 10]             850
================================================================
Total params: 62,070
Trainable params: 62,070
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.14
Params size (MB): 0.24
Estimated Total Size (MB): 0.39
----------------------------------------------------------------
#Params: 0.1M
00:52:42 --- Start training loop	training on: cuda
00:53:22 --- Epoch: 1	Train loss: 1.8526	Valid loss: 1.6771	Train accuracy: 36.13	Valid accuracy: 39.18
00:53:56 --- Epoch: 2	Train loss: 1.6484	Valid loss: 1.4811	Train accuracy: 42.44	Valid accuracy: 46.85
00:54:30 --- Epoch: 3	Train loss: 1.5615	Valid loss: 1.4207	Train accuracy: 44.43	Valid accuracy: 47.97
00:55:07 --- Epoch: 4	Train loss: 1.5079	Valid loss: 1.3967	Train accuracy: 46.21	Valid accuracy: 50.01
00:55:41 --- Epoch: 5	Train loss: 1.4736	Valid loss: 1.3520	Train accuracy: 47.97	Valid accuracy: 50.56
00:56:19 --- Epoch: 6	Train loss: 1.4263	Valid loss: 1.2938	Train accuracy: 50.63	Valid accuracy: 53.00
00:56:59 --- Epoch: 7	Train loss: 1.4051	Valid loss: 1.3056	Train accuracy: 49.88	Valid accuracy: 54.17
00:57:33 --- Epoch: 8	Train loss: 1.3684	Valid loss: 1.2392	Train accuracy: 52.51	Valid accuracy: 55.95
00:58:07 --- Epoch: 9	Train loss: 1.3480	Valid loss: 1.2369	Train accuracy: 53.41	Valid accuracy: 56.28
00:58:45 --- Epoch: 10	Train loss: 1.3298	Valid loss: 1.2120	Train accuracy: 53.97	Valid accuracy: 56.63
00:59:18 --- Epoch: 11	Train loss: 1.3151	Valid loss: 1.2186	Train accuracy: 53.36	Valid accuracy: 55.92
00:59:56 --- Epoch: 12	Train loss: 1.2913	Valid loss: 1.2325	Train accuracy: 52.87	Valid accuracy: 55.48
01:00:36 --- Epoch: 13	Train loss: 1.2809	Valid loss: 1.1843	Train accuracy: 54.85	Valid accuracy: 57.87
01:01:10 --- Epoch: 14	Train loss: 1.2696	Valid loss: 1.1771	Train accuracy: 55.92	Valid accuracy: 58.27
01:01:48 --- Epoch: 15	Train loss: 1.2671	Valid loss: 1.1867	Train accuracy: 55.09	Valid accuracy: 57.41
01:02:28 --- Epoch: 16	Train loss: 1.2568	Valid loss: 1.1821	Train accuracy: 56.18	Valid accuracy: 58.06
01:03:02 --- Epoch: 17	Train loss: 1.2291	Valid loss: 1.2003	Train accuracy: 56.08	Valid accuracy: 58.12
01:03:36 --- Epoch: 18	Train loss: 1.2345	Valid loss: 1.2381	Train accuracy: 53.35	Valid accuracy: 55.90
01:04:13 --- Epoch: 19	Train loss: 1.2230	Valid loss: 1.1010	Train accuracy: 58.57	Valid accuracy: 61.10
01:04:47 --- Epoch: 20	Train loss: 1.2021	Valid loss: 1.1456	Train accuracy: 57.49	Valid accuracy: 59.35
01:05:21 --- Epoch: 21	Train loss: 1.2140	Valid loss: 1.1110	Train accuracy: 58.20	Valid accuracy: 60.11
01:05:57 --- Epoch: 22	Train loss: 1.2002	Valid loss: 1.1129	Train accuracy: 58.59	Valid accuracy: 60.66
01:06:32 --- Epoch: 23	Train loss: 1.2015	Valid loss: 1.1386	Train accuracy: 58.15	Valid accuracy: 59.61
