----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             456
       BatchNorm2d-2            [-1, 6, 28, 28]              12
              Tanh-3            [-1, 6, 28, 28]               0
         AvgPool2d-4            [-1, 6, 14, 14]               0
            Conv2d-5           [-1, 16, 10, 10]           2,416
       BatchNorm2d-6           [-1, 16, 10, 10]              32
              Tanh-7           [-1, 16, 10, 10]               0
 AdaptiveAvgPool2d-8             [-1, 16, 1, 1]               0
            Linear-9                    [-1, 1]              16
             ReLU-10                    [-1, 1]               0
           Linear-11                   [-1, 16]              16
          Sigmoid-12                   [-1, 16]               0
          SEBlock-13           [-1, 16, 10, 10]               0
        AvgPool2d-14             [-1, 16, 5, 5]               0
          Flatten-15                  [-1, 400]               0
           Linear-16                  [-1, 120]          48,120
             Tanh-17                  [-1, 120]               0
           Linear-18                   [-1, 84]          10,164
             Tanh-19                   [-1, 84]               0
           Linear-20                   [-1, 10]             850
================================================================
Total params: 62,082
Trainable params: 62,082
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.18
Params size (MB): 0.24
Estimated Total Size (MB): 0.42
----------------------------------------------------------------
#Params: 0.1M
19:22:51 --- Start training loop	training on: cuda
19:23:35 --- Epoch: 1	Train loss: 1.7989	Valid loss: 1.5037	Train accuracy: 41.59	Valid accuracy: 45.09
19:24:16 --- Epoch: 2	Train loss: 1.5727	Valid loss: 1.4183	Train accuracy: 44.52	Valid accuracy: 48.41
19:24:54 --- Epoch: 3	Train loss: 1.4995	Valid loss: 1.4143	Train accuracy: 44.65	Valid accuracy: 48.29
19:25:33 --- Epoch: 4	Train loss: 1.4521	Valid loss: 1.3861	Train accuracy: 47.29	Valid accuracy: 50.54
19:26:15 --- Epoch: 5	Train loss: 1.4109	Valid loss: 1.3547	Train accuracy: 48.78	Valid accuracy: 51.62
19:26:57 --- Epoch: 6	Train loss: 1.3851	Valid loss: 1.4245	Train accuracy: 47.98	Valid accuracy: 50.79
19:27:40 --- Epoch: 7	Train loss: 1.3618	Valid loss: 1.3935	Train accuracy: 48.47	Valid accuracy: 51.66
19:28:23 --- Epoch: 8	Train loss: 1.3271	Valid loss: 1.3345	Train accuracy: 50.40	Valid accuracy: 52.94
19:29:06 --- Epoch: 9	Train loss: 1.3119	Valid loss: 1.3160	Train accuracy: 50.83	Valid accuracy: 53.38
19:29:48 --- Epoch: 10	Train loss: 1.2931	Valid loss: 1.3179	Train accuracy: 50.28	Valid accuracy: 52.71
19:30:32 --- Epoch: 11	Train loss: 1.2716	Valid loss: 1.3237	Train accuracy: 50.63	Valid accuracy: 53.75
19:31:14 --- Epoch: 12	Train loss: 1.2620	Valid loss: 1.2053	Train accuracy: 53.99	Valid accuracy: 56.99
