----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             456
       BatchNorm2d-2            [-1, 6, 28, 28]              12
              Tanh-3            [-1, 6, 28, 28]               0
 AdaptiveAvgPool2d-4              [-1, 6, 1, 1]               0
            Linear-5                    [-1, 0]               0
              ReLU-6                    [-1, 0]               0
            Linear-7                    [-1, 6]               0
           Sigmoid-8                    [-1, 6]               0
           SEBlock-9            [-1, 6, 28, 28]               0
        AvgPool2d-10            [-1, 6, 14, 14]               0
           Conv2d-11           [-1, 16, 10, 10]           2,416
             Tanh-12           [-1, 16, 10, 10]               0
        AvgPool2d-13             [-1, 16, 5, 5]               0
          Flatten-14                  [-1, 400]               0
           Linear-15                  [-1, 120]          48,120
             Tanh-16                  [-1, 120]               0
           Linear-17                   [-1, 84]          10,164
             Tanh-18                   [-1, 84]               0
           Linear-19                   [-1, 10]             850
================================================================
Total params: 62,018
Trainable params: 62,018
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.19
Params size (MB): 0.24
Estimated Total Size (MB): 0.43
----------------------------------------------------------------
#Params: 0.1M
16:59:55 --- Start training loop	training on: cuda
17:00:29 --- Epoch: 1	Train loss: 1.8699	Valid loss: 1.5895	Train accuracy: 38.12	Valid accuracy: 41.55
17:01:07 --- Epoch: 2	Train loss: 1.6429	Valid loss: 1.4672	Train accuracy: 42.96	Valid accuracy: 46.60
17:01:43 --- Epoch: 3	Train loss: 1.5658	Valid loss: 1.4089	Train accuracy: 44.91	Valid accuracy: 48.63
17:02:22 --- Epoch: 4	Train loss: 1.5165	Valid loss: 1.3868	Train accuracy: 45.98	Valid accuracy: 48.92
17:02:57 --- Epoch: 5	Train loss: 1.4793	Valid loss: 1.3344	Train accuracy: 48.95	Valid accuracy: 52.00
17:03:38 --- Epoch: 6	Train loss: 1.4496	Valid loss: 1.3509	Train accuracy: 49.05	Valid accuracy: 51.54
17:04:19 --- Epoch: 7	Train loss: 1.4292	Valid loss: 1.3372	Train accuracy: 48.93	Valid accuracy: 51.93
17:04:54 --- Epoch: 8	Train loss: 1.4081	Valid loss: 1.3624	Train accuracy: 49.01	Valid accuracy: 51.78
17:05:31 --- Epoch: 9	Train loss: 1.3992	Valid loss: 1.2968	Train accuracy: 50.37	Valid accuracy: 52.80
17:06:14 --- Epoch: 10	Train loss: 1.3837	Valid loss: 1.3227	Train accuracy: 50.69	Valid accuracy: 53.68
17:06:50 --- Epoch: 11	Train loss: 1.3659	Valid loss: 1.2899	Train accuracy: 51.73	Valid accuracy: 53.40
17:07:28 --- Epoch: 12	Train loss: 1.3657	Valid loss: 1.3000	Train accuracy: 51.14	Valid accuracy: 53.69
17:08:06 --- Epoch: 13	Train loss: 1.3460	Valid loss: 1.3149	Train accuracy: 51.46	Valid accuracy: 53.29
