----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             456
       BatchNorm2d-2            [-1, 6, 28, 28]              12
              Tanh-3            [-1, 6, 28, 28]               0
 AdaptiveAvgPool2d-4              [-1, 6, 1, 1]               0
            Linear-5                    [-1, 0]               0
              ReLU-6                    [-1, 0]               0
            Linear-7                    [-1, 6]               0
           Sigmoid-8                    [-1, 6]               0
           SEBlock-9            [-1, 6, 28, 28]               0
        AvgPool2d-10            [-1, 6, 14, 14]               0
           Conv2d-11           [-1, 16, 10, 10]           2,416
      BatchNorm2d-12           [-1, 16, 10, 10]              32
             Tanh-13           [-1, 16, 10, 10]               0
        AvgPool2d-14             [-1, 16, 5, 5]               0
          Flatten-15                  [-1, 400]               0
           Linear-16                  [-1, 120]          48,120
             Tanh-17                  [-1, 120]               0
           Linear-18                   [-1, 84]          10,164
             Tanh-19                   [-1, 84]               0
           Linear-20                   [-1, 10]             850
================================================================
Total params: 62,050
Trainable params: 62,050
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.20
Params size (MB): 0.24
Estimated Total Size (MB): 0.45
----------------------------------------------------------------
#Params: 0.1M
20:30:23 --- Start training loop	training on: cuda
20:31:03 --- Epoch: 1	Train loss: 1.8028	Valid loss: 1.5643	Train accuracy: 39.38	Valid accuracy: 42.03
20:31:43 --- Epoch: 2	Train loss: 1.5669	Valid loss: 1.3985	Train accuracy: 45.22	Valid accuracy: 49.31
20:32:35 --- Epoch: 3	Train loss: 1.4909	Valid loss: 1.3889	Train accuracy: 46.20	Valid accuracy: 49.88
20:33:15 --- Epoch: 4	Train loss: 1.4425	Valid loss: 1.3377	Train accuracy: 48.17	Valid accuracy: 51.61
20:33:56 --- Epoch: 5	Train loss: 1.4106	Valid loss: 1.2970	Train accuracy: 51.19	Valid accuracy: 53.49
20:34:37 --- Epoch: 6	Train loss: 1.3701	Valid loss: 1.2658	Train accuracy: 52.11	Valid accuracy: 55.30
20:35:20 --- Epoch: 7	Train loss: 1.3568	Valid loss: 1.3044	Train accuracy: 51.27	Valid accuracy: 54.25
20:36:05 --- Epoch: 8	Train loss: 1.3292	Valid loss: 1.2728	Train accuracy: 53.04	Valid accuracy: 54.90
20:37:00 --- Epoch: 9	Train loss: 1.3071	Valid loss: 1.2294	Train accuracy: 54.27	Valid accuracy: 56.83
20:37:43 --- Epoch: 10	Train loss: 1.2988	Valid loss: 1.2157	Train accuracy: 54.61	Valid accuracy: 57.32
20:38:27 --- Epoch: 11	Train loss: 1.2827	Valid loss: 1.2039	Train accuracy: 55.47	Valid accuracy: 58.09
20:39:15 --- Epoch: 12	Train loss: 1.2738	Valid loss: 1.1888	Train accuracy: 55.50	Valid accuracy: 57.90
20:40:02 --- Epoch: 13	Train loss: 1.2557	Valid loss: 1.1651	Train accuracy: 56.50	Valid accuracy: 58.98
20:40:42 --- Epoch: 14	Train loss: 1.2444	Valid loss: 1.1686	Train accuracy: 57.31	Valid accuracy: 59.35
20:41:22 --- Epoch: 15	Train loss: 1.2318	Valid loss: 1.1803	Train accuracy: 55.41	Valid accuracy: 59.35
20:42:02 --- Epoch: 16	Train loss: 1.2213	Valid loss: 1.1650	Train accuracy: 57.58	Valid accuracy: 59.90
20:42:50 --- Epoch: 17	Train loss: 1.2246	Valid loss: 1.1398	Train accuracy: 58.53	Valid accuracy: 59.70
20:43:31 --- Epoch: 18	Train loss: 1.2189	Valid loss: 1.1816	Train accuracy: 56.45	Valid accuracy: 58.84
20:44:10 --- Epoch: 19	Train loss: 1.2081	Valid loss: 1.1308	Train accuracy: 58.58	Valid accuracy: 60.59
20:44:48 --- Epoch: 20	Train loss: 1.1971	Valid loss: 1.1119	Train accuracy: 58.93	Valid accuracy: 61.96
20:45:27 --- Epoch: 21	Train loss: 1.1985	Valid loss: 1.1686	Train accuracy: 57.03	Valid accuracy: 58.52
20:46:08 --- Epoch: 22	Train loss: 1.1930	Valid loss: 1.1475	Train accuracy: 57.62	Valid accuracy: 59.09
20:46:49 --- Epoch: 23	Train loss: 1.1849	Valid loss: 1.1233	Train accuracy: 58.80	Valid accuracy: 60.72
20:47:29 --- Epoch: 24	Train loss: 1.1924	Valid loss: 1.1707	Train accuracy: 57.77	Valid accuracy: 59.74
20:48:08 --- Epoch: 25	Train loss: 1.1809	Valid loss: 1.1402	Train accuracy: 58.29	Valid accuracy: 59.88
20:48:45 --- Epoch: 26	Train loss: 1.1769	Valid loss: 1.1686	Train accuracy: 56.97	Valid accuracy: 59.63
20:49:29 --- Epoch: 27	Train loss: 1.1732	Valid loss: 1.1705	Train accuracy: 57.36	Valid accuracy: 58.74
20:50:09 --- Epoch: 28	Train loss: 1.1709	Valid loss: 1.1105	Train accuracy: 59.51	Valid accuracy: 61.48
20:50:48 --- Epoch: 29	Train loss: 1.1607	Valid loss: 1.1717	Train accuracy: 57.00	Valid accuracy: 58.84
20:51:26 --- Epoch: 30	Train loss: 1.1710	Valid loss: 1.1222	Train accuracy: 59.83	Valid accuracy: 61.17
20:52:02 --- Epoch: 31	Train loss: 1.1670	Valid loss: 1.1508	Train accuracy: 57.64	Valid accuracy: 59.79
20:52:43 --- Epoch: 32	Train loss: 1.1653	Valid loss: 1.1180	Train accuracy: 59.71	Valid accuracy: 61.41
20:53:20 --- Epoch: 33	Train loss: 1.1626	Valid loss: 1.2181	Train accuracy: 56.63	Valid accuracy: 58.36
20:53:59 --- Epoch: 34	Train loss: 1.1495	Valid loss: 1.1043	Train accuracy: 59.54	Valid accuracy: 61.78
20:54:42 --- Epoch: 35	Train loss: 1.1471	Valid loss: 1.0830	Train accuracy: 60.66	Valid accuracy: 62.19
20:55:18 --- Epoch: 36	Train loss: 1.1548	Valid loss: 1.1407	Train accuracy: 58.75	Valid accuracy: 60.40
20:56:02 --- Epoch: 37	Train loss: 1.1535	Valid loss: 1.1290	Train accuracy: 58.95	Valid accuracy: 60.37
20:56:39 --- Epoch: 38	Train loss: 1.1512	Valid loss: 1.1205	Train accuracy: 59.17	Valid accuracy: 60.89
20:57:16 --- Epoch: 39	Train loss: 1.1434	Valid loss: 1.0971	Train accuracy: 59.69	Valid accuracy: 61.15
20:57:54 --- Epoch: 40	Train loss: 1.1461	Valid loss: 1.1678	Train accuracy: 57.93	Valid accuracy: 59.62
20:58:34 --- Epoch: 41	Train loss: 1.1514	Valid loss: 1.0943	Train accuracy: 60.34	Valid accuracy: 61.93
20:59:09 --- Epoch: 42	Train loss: 1.1397	Valid loss: 1.1524	Train accuracy: 59.16	Valid accuracy: 60.92
20:59:45 --- Epoch: 43	Train loss: 1.1475	Valid loss: 1.1221	Train accuracy: 59.47	Valid accuracy: 61.31
21:00:24 --- Epoch: 44	Train loss: 1.1452	Valid loss: 1.0892	Train accuracy: 60.48	Valid accuracy: 62.46
21:00:58 --- Epoch: 45	Train loss: 1.1431	Valid loss: 1.0989	Train accuracy: 59.81	Valid accuracy: 61.80
21:01:35 --- Epoch: 46	Train loss: 1.1348	Valid loss: 1.0680	Train accuracy: 60.27	Valid accuracy: 62.31
21:02:20 --- Epoch: 47	Train loss: 1.1437	Valid loss: 1.0926	Train accuracy: 60.53	Valid accuracy: 62.06
21:03:01 --- Epoch: 48	Train loss: 1.1362	Valid loss: 1.0906	Train accuracy: 60.57	Valid accuracy: 62.33
