----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             456
              Tanh-2            [-1, 6, 28, 28]               0
         AvgPool2d-3            [-1, 6, 14, 14]               0
            Conv2d-4           [-1, 16, 10, 10]           2,416
       BatchNorm2d-5           [-1, 16, 10, 10]              32
              Tanh-6           [-1, 16, 10, 10]               0
         AvgPool2d-7             [-1, 16, 5, 5]               0
           Flatten-8                  [-1, 400]               0
            Linear-9                  [-1, 120]          48,120
             Tanh-10                  [-1, 120]               0
           Linear-11                   [-1, 84]          10,164
             Tanh-12                   [-1, 84]               0
           Linear-13                   [-1, 10]             850
================================================================
Total params: 62,038
Trainable params: 62,038
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.13
Params size (MB): 0.24
Estimated Total Size (MB): 0.38
----------------------------------------------------------------
#Params: 0.1M
14:59:08 --- Start training loop	training on: cuda
14:59:42 --- Epoch: 1	Train loss: 1.8374	Valid loss: 1.5925	Train accuracy: 39.30	Valid accuracy: 42.43
15:00:18 --- Epoch: 2	Train loss: 1.6105	Valid loss: 1.4509	Train accuracy: 44.09	Valid accuracy: 47.41
15:00:51 --- Epoch: 3	Train loss: 1.5348	Valid loss: 1.4653	Train accuracy: 43.82	Valid accuracy: 46.90
15:01:27 --- Epoch: 4	Train loss: 1.4940	Valid loss: 1.3659	Train accuracy: 47.42	Valid accuracy: 50.07
15:02:07 --- Epoch: 5	Train loss: 1.4634	Valid loss: 1.3550	Train accuracy: 47.71	Valid accuracy: 50.51
15:02:40 --- Epoch: 6	Train loss: 1.4333	Valid loss: 1.3401	Train accuracy: 49.37	Valid accuracy: 52.08
15:03:17 --- Epoch: 7	Train loss: 1.4128	Valid loss: 1.3304	Train accuracy: 49.92	Valid accuracy: 52.06
15:03:56 --- Epoch: 8	Train loss: 1.3846	Valid loss: 1.2849	Train accuracy: 51.47	Valid accuracy: 53.28
15:04:30 --- Epoch: 9	Train loss: 1.3676	Valid loss: 1.2590	Train accuracy: 52.69	Valid accuracy: 55.53
15:05:07 --- Epoch: 10	Train loss: 1.3535	Valid loss: 1.2939	Train accuracy: 51.51	Valid accuracy: 54.26
15:05:46 --- Epoch: 11	Train loss: 1.3378	Valid loss: 1.2676	Train accuracy: 52.58	Valid accuracy: 54.67
