----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 28, 28]             456
              Tanh-2            [-1, 6, 28, 28]               0
         AvgPool2d-3            [-1, 6, 14, 14]               0
            Conv2d-4           [-1, 16, 10, 10]           2,416
              Tanh-5           [-1, 16, 10, 10]               0
 AdaptiveAvgPool2d-6             [-1, 16, 1, 1]               0
            Linear-7                    [-1, 1]              16
              ReLU-8                    [-1, 1]               0
            Linear-9                   [-1, 16]              16
          Sigmoid-10                   [-1, 16]               0
          SEBlock-11           [-1, 16, 10, 10]               0
        AvgPool2d-12             [-1, 16, 5, 5]               0
          Flatten-13                  [-1, 400]               0
           Linear-14                  [-1, 120]          48,120
             Tanh-15                  [-1, 120]               0
           Linear-16                   [-1, 84]          10,164
             Tanh-17                   [-1, 84]               0
           Linear-18                   [-1, 10]             850
================================================================
Total params: 62,038
Trainable params: 62,038
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.13
Params size (MB): 0.24
Estimated Total Size (MB): 0.38
----------------------------------------------------------------
#Params: 0.1M
14:00:10 --- Start training loop	training on: cuda
14:00:43 --- Epoch: 1	Train loss: 1.8735	Valid loss: 1.6111	Train accuracy: 37.44	Valid accuracy: 41.55
14:01:20 --- Epoch: 2	Train loss: 1.6484	Valid loss: 1.5100	Train accuracy: 42.38	Valid accuracy: 46.14
14:02:00 --- Epoch: 3	Train loss: 1.5698	Valid loss: 1.4542	Train accuracy: 43.06	Valid accuracy: 47.15
14:02:34 --- Epoch: 4	Train loss: 1.5223	Valid loss: 1.4291	Train accuracy: 45.16	Valid accuracy: 48.41
14:03:08 --- Epoch: 5	Train loss: 1.4868	Valid loss: 1.3966	Train accuracy: 46.83	Valid accuracy: 49.81
14:03:45 --- Epoch: 6	Train loss: 1.4706	Valid loss: 1.3507	Train accuracy: 48.41	Valid accuracy: 51.26
14:04:18 --- Epoch: 7	Train loss: 1.4390	Valid loss: 1.3791	Train accuracy: 47.49	Valid accuracy: 51.17
14:04:52 --- Epoch: 8	Train loss: 1.4258	Valid loss: 1.3303	Train accuracy: 49.15	Valid accuracy: 52.31
14:05:28 --- Epoch: 9	Train loss: 1.4092	Valid loss: 1.2996	Train accuracy: 50.08	Valid accuracy: 54.01
14:06:02 --- Epoch: 10	Train loss: 1.3968	Valid loss: 1.3263	Train accuracy: 50.18	Valid accuracy: 52.68
14:06:39 --- Epoch: 11	Train loss: 1.3933	Valid loss: 1.3163	Train accuracy: 50.69	Valid accuracy: 52.96
14:07:19 --- Epoch: 12	Train loss: 1.3732	Valid loss: 1.2998	Train accuracy: 50.77	Valid accuracy: 53.80
14:07:53 --- Epoch: 13	Train loss: 1.3637	Valid loss: 1.2671	Train accuracy: 52.25	Valid accuracy: 55.07
14:08:27 --- Epoch: 14	Train loss: 1.3588	Valid loss: 1.2851	Train accuracy: 52.76	Valid accuracy: 55.18
14:09:04 --- Epoch: 15	Train loss: 1.3453	Valid loss: 1.2837	Train accuracy: 52.12	Valid accuracy: 54.55
14:09:38 --- Epoch: 16	Train loss: 1.3470	Valid loss: 1.2893	Train accuracy: 51.21	Valid accuracy: 53.87
14:10:12 --- Epoch: 17	Train loss: 1.3347	Valid loss: 1.2604	Train accuracy: 52.24	Valid accuracy: 54.72
14:10:48 --- Epoch: 18	Train loss: 1.3381	Valid loss: 1.2403	Train accuracy: 53.71	Valid accuracy: 56.30
14:11:22 --- Epoch: 19	Train loss: 1.3319	Valid loss: 1.2819	Train accuracy: 51.20	Valid accuracy: 54.28
14:11:56 --- Epoch: 20	Train loss: 1.3131	Valid loss: 1.2519	Train accuracy: 53.29	Valid accuracy: 55.25
14:12:31 --- Epoch: 21	Train loss: 1.3155	Valid loss: 1.2783	Train accuracy: 52.41	Valid accuracy: 54.35
14:13:05 --- Epoch: 22	Train loss: 1.3210	Valid loss: 1.2406	Train accuracy: 53.97	Valid accuracy: 56.55
14:13:39 --- Epoch: 23	Train loss: 1.3084	Valid loss: 1.2118	Train accuracy: 54.17	Valid accuracy: 56.98
14:14:14 --- Epoch: 24	Train loss: 1.3013	Valid loss: 1.2106	Train accuracy: 54.97	Valid accuracy: 56.97
