----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 30, 30]             168
            Conv2d-2            [-1, 6, 28, 28]             330
       BatchNorm2d-3            [-1, 6, 28, 28]              12
              ReLU-4            [-1, 6, 28, 28]               0
         MaxPool2d-5            [-1, 6, 14, 14]               0
            Conv2d-6           [-1, 16, 12, 12]             880
            Conv2d-7           [-1, 16, 10, 10]           2,320
       BatchNorm2d-8           [-1, 16, 10, 10]              32
              ReLU-9           [-1, 16, 10, 10]               0
        MaxPool2d-10             [-1, 16, 5, 5]               0
          Flatten-11                  [-1, 400]               0
           Linear-12                  [-1, 120]          48,120
             ReLU-13                  [-1, 120]               0
           Linear-14                   [-1, 84]          10,164
             ReLU-15                   [-1, 84]               0
           Linear-16                   [-1, 10]             850
================================================================
Total params: 62,876
Trainable params: 62,876
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.22
Params size (MB): 0.24
Estimated Total Size (MB): 0.47
----------------------------------------------------------------
#Params: 0.1M
23:39:38 --- Start training loop	training on: cuda
23:40:18 --- Epoch: 1	Train loss: 1.7333	Valid loss: 1.4400	Train accuracy: 43.68	Valid accuracy: 47.54
23:40:59 --- Epoch: 2	Train loss: 1.4910	Valid loss: 1.4325	Train accuracy: 47.00	Valid accuracy: 49.88
23:41:42 --- Epoch: 3	Train loss: 1.3946	Valid loss: 1.2963	Train accuracy: 51.24	Valid accuracy: 53.47
23:42:27 --- Epoch: 4	Train loss: 1.3283	Valid loss: 1.2529	Train accuracy: 53.05	Valid accuracy: 56.30
23:43:09 --- Epoch: 5	Train loss: 1.2855	Valid loss: 1.2479	Train accuracy: 53.65	Valid accuracy: 56.01
23:43:51 --- Epoch: 6	Train loss: 1.2531	Valid loss: 1.1954	Train accuracy: 55.64	Valid accuracy: 58.18
23:44:33 --- Epoch: 7	Train loss: 1.2331	Valid loss: 1.1420	Train accuracy: 57.36	Valid accuracy: 59.94
23:45:14 --- Epoch: 8	Train loss: 1.2066	Valid loss: 1.1252	Train accuracy: 58.27	Valid accuracy: 61.02
23:45:56 --- Epoch: 9	Train loss: 1.1927	Valid loss: 1.1082	Train accuracy: 59.03	Valid accuracy: 61.54
23:46:39 --- Epoch: 10	Train loss: 1.1735	Valid loss: 1.1074	Train accuracy: 59.12	Valid accuracy: 61.14
23:47:27 --- Epoch: 11	Train loss: 1.1573	Valid loss: 1.1425	Train accuracy: 58.13	Valid accuracy: 60.27
23:48:10 --- Epoch: 12	Train loss: 1.1441	Valid loss: 1.0734	Train accuracy: 60.61	Valid accuracy: 62.35
23:48:56 --- Epoch: 13	Train loss: 1.1423	Valid loss: 1.1605	Train accuracy: 58.79	Valid accuracy: 60.48
23:49:39 --- Epoch: 14	Train loss: 1.1295	Valid loss: 1.1207	Train accuracy: 59.57	Valid accuracy: 60.55
23:50:22 --- Epoch: 15	Train loss: 1.1195	Valid loss: 1.0799	Train accuracy: 60.65	Valid accuracy: 62.68
23:51:08 --- Epoch: 16	Train loss: 1.1128	Valid loss: 1.0864	Train accuracy: 60.25	Valid accuracy: 62.17
23:51:53 --- Epoch: 17	Train loss: 1.1029	Valid loss: 1.0054	Train accuracy: 62.42	Valid accuracy: 65.21
23:52:38 --- Epoch: 18	Train loss: 1.0934	Valid loss: 0.9936	Train accuracy: 63.09	Valid accuracy: 65.92
23:53:22 --- Epoch: 19	Train loss: 1.0873	Valid loss: 1.0415	Train accuracy: 61.62	Valid accuracy: 64.10
23:54:05 --- Epoch: 20	Train loss: 1.0774	Valid loss: 1.0318	Train accuracy: 61.85	Valid accuracy: 63.92
23:54:46 --- Epoch: 21	Train loss: 1.0706	Valid loss: 1.0092	Train accuracy: 62.82	Valid accuracy: 65.19
23:55:34 --- Epoch: 22	Train loss: 1.0673	Valid loss: 1.0435	Train accuracy: 61.94	Valid accuracy: 63.97
23:56:17 --- Epoch: 23	Train loss: 1.0656	Valid loss: 1.0013	Train accuracy: 62.85	Valid accuracy: 65.52
23:56:56 --- Epoch: 24	Train loss: 1.0600	Valid loss: 1.0894	Train accuracy: 59.59	Valid accuracy: 62.46
23:57:40 --- Epoch: 25	Train loss: 1.0663	Valid loss: 1.1017	Train accuracy: 60.26	Valid accuracy: 62.42
23:58:22 --- Epoch: 26	Train loss: 1.0510	Valid loss: 1.0322	Train accuracy: 62.09	Valid accuracy: 63.85
23:59:09 --- Epoch: 27	Train loss: 1.0432	Valid loss: 1.0044	Train accuracy: 63.73	Valid accuracy: 65.55
23:59:53 --- Epoch: 28	Train loss: 1.0487	Valid loss: 1.0259	Train accuracy: 62.67	Valid accuracy: 65.04
00:00:35 --- Epoch: 29	Train loss: 1.0485	Valid loss: 0.9792	Train accuracy: 63.86	Valid accuracy: 65.76
00:01:14 --- Epoch: 30	Train loss: 1.0445	Valid loss: 0.9853	Train accuracy: 63.62	Valid accuracy: 65.54
00:01:53 --- Epoch: 31	Train loss: 1.0342	Valid loss: 1.0588	Train accuracy: 62.76	Valid accuracy: 64.08
00:02:32 --- Epoch: 32	Train loss: 1.0430	Valid loss: 1.0316	Train accuracy: 62.37	Valid accuracy: 64.56
00:03:14 --- Epoch: 33	Train loss: 1.0357	Valid loss: 1.0176	Train accuracy: 63.26	Valid accuracy: 64.86
00:03:53 --- Epoch: 34	Train loss: 1.0307	Valid loss: 0.9957	Train accuracy: 64.63	Valid accuracy: 66.44
00:04:32 --- Epoch: 35	Train loss: 1.0230	Valid loss: 0.9746	Train accuracy: 63.88	Valid accuracy: 66.52
00:05:14 --- Epoch: 36	Train loss: 1.0337	Valid loss: 1.0482	Train accuracy: 61.95	Valid accuracy: 64.18
00:05:55 --- Epoch: 37	Train loss: 1.0293	Valid loss: 0.9897	Train accuracy: 64.33	Valid accuracy: 66.14
00:06:41 --- Epoch: 38	Train loss: 1.0240	Valid loss: 0.9673	Train accuracy: 64.28	Valid accuracy: 66.38
00:07:26 --- Epoch: 39	Train loss: 1.0242	Valid loss: 0.9953	Train accuracy: 64.32	Valid accuracy: 65.72
00:08:06 --- Epoch: 40	Train loss: 1.0294	Valid loss: 0.9890	Train accuracy: 63.84	Valid accuracy: 66.10
00:08:46 --- Epoch: 41	Train loss: 1.0172	Valid loss: 0.9602	Train accuracy: 65.41	Valid accuracy: 67.47
