----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 30, 30]             168
            Conv2d-2            [-1, 6, 28, 28]             330
       BatchNorm2d-3            [-1, 6, 28, 28]              12
              ReLU-4            [-1, 6, 28, 28]               0
         MaxPool2d-5            [-1, 6, 14, 14]               0
            Conv2d-6           [-1, 16, 12, 12]             880
            Conv2d-7           [-1, 16, 10, 10]           2,320
       BatchNorm2d-8           [-1, 16, 10, 10]              32
              ReLU-9           [-1, 16, 10, 10]               0
AdaptiveAvgPool2d-10             [-1, 16, 1, 1]               0
           Linear-11                    [-1, 1]              16
             ReLU-12                    [-1, 1]               0
           Linear-13                   [-1, 16]              16
          Sigmoid-14                   [-1, 16]               0
          SEBlock-15           [-1, 16, 10, 10]               0
        MaxPool2d-16             [-1, 16, 5, 5]               0
          Flatten-17                  [-1, 400]               0
           Linear-18                  [-1, 120]          48,120
             ReLU-19                  [-1, 120]               0
           Linear-20                   [-1, 84]          10,164
             ReLU-21                   [-1, 84]               0
           Linear-22                   [-1, 10]             850
================================================================
Total params: 62,908
Trainable params: 62,908
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.23
Params size (MB): 0.24
Estimated Total Size (MB): 0.49
----------------------------------------------------------------
#Params: 0.1M
00:49:43 --- Start training loop	training on: cuda
00:50:22 --- Epoch: 1	Train loss: 1.7096	Valid loss: 1.4533	Train accuracy: 43.16	Valid accuracy: 46.75
00:51:01 --- Epoch: 2	Train loss: 1.4562	Valid loss: 1.3292	Train accuracy: 49.04	Valid accuracy: 52.91
00:51:39 --- Epoch: 3	Train loss: 1.3438	Valid loss: 1.2921	Train accuracy: 50.88	Valid accuracy: 52.60
00:52:18 --- Epoch: 4	Train loss: 1.2765	Valid loss: 1.2160	Train accuracy: 54.00	Valid accuracy: 56.35
00:52:57 --- Epoch: 5	Train loss: 1.2354	Valid loss: 1.1456	Train accuracy: 56.25	Valid accuracy: 59.48
00:53:35 --- Epoch: 6	Train loss: 1.1915	Valid loss: 1.1901	Train accuracy: 56.56	Valid accuracy: 58.36
00:54:15 --- Epoch: 7	Train loss: 1.1714	Valid loss: 1.1337	Train accuracy: 58.28	Valid accuracy: 60.96
00:54:54 --- Epoch: 8	Train loss: 1.1418	Valid loss: 1.0876	Train accuracy: 58.96	Valid accuracy: 62.03
00:55:33 --- Epoch: 9	Train loss: 1.1250	Valid loss: 1.0656	Train accuracy: 60.72	Valid accuracy: 62.56
00:56:12 --- Epoch: 10	Train loss: 1.1064	Valid loss: 1.0357	Train accuracy: 61.72	Valid accuracy: 64.40
00:56:51 --- Epoch: 11	Train loss: 1.0886	Valid loss: 1.0493	Train accuracy: 60.61	Valid accuracy: 63.54
00:57:30 --- Epoch: 12	Train loss: 1.0794	Valid loss: 0.9961	Train accuracy: 62.17	Valid accuracy: 65.30
00:58:08 --- Epoch: 13	Train loss: 1.0594	Valid loss: 1.0429	Train accuracy: 61.84	Valid accuracy: 63.83
