----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 30, 30]             168
            Conv2d-2            [-1, 6, 28, 28]             330
       BatchNorm2d-3            [-1, 6, 28, 28]              12
              ReLU-4            [-1, 6, 28, 28]               0
 AdaptiveAvgPool2d-5              [-1, 6, 1, 1]               0
            Linear-6                    [-1, 0]               0
              ReLU-7                    [-1, 0]               0
            Linear-8                    [-1, 6]               0
           Sigmoid-9                    [-1, 6]               0
          SEBlock-10            [-1, 6, 28, 28]               0
        MaxPool2d-11            [-1, 6, 14, 14]               0
           Conv2d-12           [-1, 16, 12, 12]             880
           Conv2d-13           [-1, 16, 10, 10]           2,320
      BatchNorm2d-14           [-1, 16, 10, 10]              32
             ReLU-15           [-1, 16, 10, 10]               0
AdaptiveAvgPool2d-16             [-1, 16, 1, 1]               0
           Linear-17                    [-1, 1]              16
             ReLU-18                    [-1, 1]               0
           Linear-19                   [-1, 16]              16
          Sigmoid-20                   [-1, 16]               0
          SEBlock-21           [-1, 16, 10, 10]               0
        MaxPool2d-22             [-1, 16, 5, 5]               0
          Flatten-23                  [-1, 400]               0
           Linear-24                  [-1, 120]          48,120
             ReLU-25                  [-1, 120]               0
           Linear-26                   [-1, 84]          10,164
             ReLU-27                   [-1, 84]               0
           Linear-28                   [-1, 10]             850
================================================================
Total params: 62,908
Trainable params: 62,908
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.27
Params size (MB): 0.24
Estimated Total Size (MB): 0.52
----------------------------------------------------------------
#Params: 0.1M
02:58:19 --- Start training loop	training on: cuda
02:58:58 --- Epoch: 1	Train loss: 1.7291	Valid loss: 1.5066	Train accuracy: 42.51	Valid accuracy: 46.38
02:59:38 --- Epoch: 2	Train loss: 1.4414	Valid loss: 1.2564	Train accuracy: 51.21	Valid accuracy: 54.57
03:00:16 --- Epoch: 3	Train loss: 1.3344	Valid loss: 1.1770	Train accuracy: 53.72	Valid accuracy: 57.10
03:00:57 --- Epoch: 4	Train loss: 1.2543	Valid loss: 1.1570	Train accuracy: 56.48	Valid accuracy: 59.06
03:01:35 --- Epoch: 5	Train loss: 1.2084	Valid loss: 1.1209	Train accuracy: 57.22	Valid accuracy: 60.74
03:02:14 --- Epoch: 6	Train loss: 1.1738	Valid loss: 1.0907	Train accuracy: 59.15	Valid accuracy: 61.52
03:02:53 --- Epoch: 7	Train loss: 1.1426	Valid loss: 1.0924	Train accuracy: 58.18	Valid accuracy: 61.14
03:03:32 --- Epoch: 8	Train loss: 1.1216	Valid loss: 1.0226	Train accuracy: 60.75	Valid accuracy: 64.44
03:04:10 --- Epoch: 9	Train loss: 1.0998	Valid loss: 1.0011	Train accuracy: 61.60	Valid accuracy: 65.02
03:04:51 --- Epoch: 10	Train loss: 1.0817	Valid loss: 0.9936	Train accuracy: 62.23	Valid accuracy: 64.81
03:05:30 --- Epoch: 11	Train loss: 1.0683	Valid loss: 1.0130	Train accuracy: 62.67	Valid accuracy: 64.92
03:06:09 --- Epoch: 12	Train loss: 1.0574	Valid loss: 0.9702	Train accuracy: 62.92	Valid accuracy: 66.47
03:06:49 --- Epoch: 13	Train loss: 1.0454	Valid loss: 0.9539	Train accuracy: 63.52	Valid accuracy: 66.48
03:07:28 --- Epoch: 14	Train loss: 1.0307	Valid loss: 0.9602	Train accuracy: 64.28	Valid accuracy: 66.20
03:08:06 --- Epoch: 15	Train loss: 1.0271	Valid loss: 0.9932	Train accuracy: 63.16	Valid accuracy: 65.01
03:08:45 --- Epoch: 16	Train loss: 1.0184	Valid loss: 0.9189	Train accuracy: 65.52	Valid accuracy: 67.81
03:09:24 --- Epoch: 17	Train loss: 1.0088	Valid loss: 0.9482	Train accuracy: 64.48	Valid accuracy: 66.90
03:10:03 --- Epoch: 18	Train loss: 1.0028	Valid loss: 0.9366	Train accuracy: 64.94	Valid accuracy: 67.14
03:10:42 --- Epoch: 19	Train loss: 0.9944	Valid loss: 0.9927	Train accuracy: 63.70	Valid accuracy: 65.98
03:11:21 --- Epoch: 20	Train loss: 0.9933	Valid loss: 0.9718	Train accuracy: 64.31	Valid accuracy: 66.93
