----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 30, 30]             168
            Conv2d-2            [-1, 6, 28, 28]             330
       BatchNorm2d-3            [-1, 6, 28, 28]              12
              ReLU-4            [-1, 6, 28, 28]               0
 AdaptiveAvgPool2d-5              [-1, 6, 1, 1]               0
            Linear-6                    [-1, 0]               0
              ReLU-7                    [-1, 0]               0
            Linear-8                    [-1, 6]               0
           Sigmoid-9                    [-1, 6]               0
          SEBlock-10            [-1, 6, 28, 28]               0
        MaxPool2d-11            [-1, 6, 14, 14]               0
           Conv2d-12           [-1, 16, 12, 12]             880
           Conv2d-13           [-1, 16, 10, 10]           2,320
      BatchNorm2d-14           [-1, 16, 10, 10]              32
             ReLU-15           [-1, 16, 10, 10]               0
AdaptiveAvgPool2d-16             [-1, 16, 1, 1]               0
           Linear-17                    [-1, 1]              16
             ReLU-18                    [-1, 1]               0
           Linear-19                   [-1, 16]              16
          Sigmoid-20                   [-1, 16]               0
          SEBlock-21           [-1, 16, 10, 10]               0
        MaxPool2d-22             [-1, 16, 5, 5]               0
          Flatten-23                  [-1, 400]               0
           Linear-24                  [-1, 120]          48,120
             ReLU-25                  [-1, 120]               0
           Linear-26                   [-1, 84]          10,164
             ReLU-27                   [-1, 84]               0
           Linear-28                   [-1, 10]             850
================================================================
Total params: 62,908
Trainable params: 62,908
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.27
Params size (MB): 0.24
Estimated Total Size (MB): 0.52
----------------------------------------------------------------
#Params: 0.1M
03:03:33 --- Start training loop	training on: cuda
03:04:11 --- Epoch: 1	Train loss: 1.7706	Valid loss: 1.6741	Train accuracy: 35.20	Valid accuracy: 38.13
03:04:52 --- Epoch: 2	Train loss: 1.5136	Valid loss: 1.3726	Train accuracy: 46.82	Valid accuracy: 49.67
03:05:31 --- Epoch: 3	Train loss: 1.4088	Valid loss: 1.2877	Train accuracy: 50.94	Valid accuracy: 53.77
03:06:10 --- Epoch: 4	Train loss: 1.3449	Valid loss: 1.2674	Train accuracy: 51.96	Valid accuracy: 54.88
03:06:51 --- Epoch: 5	Train loss: 1.2908	Valid loss: 1.1869	Train accuracy: 54.73	Valid accuracy: 57.24
03:07:30 --- Epoch: 6	Train loss: 1.2457	Valid loss: 1.1915	Train accuracy: 55.12	Valid accuracy: 57.11
03:08:08 --- Epoch: 7	Train loss: 1.2149	Valid loss: 1.1962	Train accuracy: 55.75	Valid accuracy: 57.41
03:08:47 --- Epoch: 8	Train loss: 1.1827	Valid loss: 1.1216	Train accuracy: 57.76	Valid accuracy: 59.61
03:09:26 --- Epoch: 9	Train loss: 1.1653	Valid loss: 1.0661	Train accuracy: 60.18	Valid accuracy: 62.04
03:10:04 --- Epoch: 10	Train loss: 1.1322	Valid loss: 1.1082	Train accuracy: 58.97	Valid accuracy: 60.88
03:10:44 --- Epoch: 11	Train loss: 1.1195	Valid loss: 1.1490	Train accuracy: 57.99	Valid accuracy: 59.78
03:11:22 --- Epoch: 12	Train loss: 1.1045	Valid loss: 1.0834	Train accuracy: 59.70	Valid accuracy: 61.78
03:12:01 --- Epoch: 13	Train loss: 1.0929	Valid loss: 0.9984	Train accuracy: 62.43	Valid accuracy: 64.33
03:12:41 --- Epoch: 14	Train loss: 1.0786	Valid loss: 1.0099	Train accuracy: 62.22	Valid accuracy: 64.69
03:13:20 --- Epoch: 15	Train loss: 1.0642	Valid loss: 1.0195	Train accuracy: 62.10	Valid accuracy: 64.16
03:13:58 --- Epoch: 16	Train loss: 1.0506	Valid loss: 0.9801	Train accuracy: 63.47	Valid accuracy: 65.71
03:14:37 --- Epoch: 17	Train loss: 1.0379	Valid loss: 1.0849	Train accuracy: 60.44	Valid accuracy: 62.21
03:15:15 --- Epoch: 18	Train loss: 1.0272	Valid loss: 0.9793	Train accuracy: 63.75	Valid accuracy: 66.04
03:15:53 --- Epoch: 19	Train loss: 1.0223	Valid loss: 0.9585	Train accuracy: 64.21	Valid accuracy: 66.26
03:16:32 --- Epoch: 20	Train loss: 1.0125	Valid loss: 0.9755	Train accuracy: 63.28	Valid accuracy: 66.25
03:17:11 --- Epoch: 21	Train loss: 1.0044	Valid loss: 0.9326	Train accuracy: 64.99	Valid accuracy: 67.40
03:17:49 --- Epoch: 22	Train loss: 0.9999	Valid loss: 0.9969	Train accuracy: 63.66	Valid accuracy: 65.68
03:18:29 --- Epoch: 23	Train loss: 0.9873	Valid loss: 0.9616	Train accuracy: 64.00	Valid accuracy: 66.55
03:19:07 --- Epoch: 24	Train loss: 0.9890	Valid loss: 0.9444	Train accuracy: 65.76	Valid accuracy: 67.52
03:19:46 --- Epoch: 25	Train loss: 0.9945	Valid loss: 0.9392	Train accuracy: 65.32	Valid accuracy: 67.74
03:20:26 --- Epoch: 26	Train loss: 0.9743	Valid loss: 0.9659	Train accuracy: 64.35	Valid accuracy: 66.29
03:21:06 --- Epoch: 27	Train loss: 0.9811	Valid loss: 0.9107	Train accuracy: 65.78	Valid accuracy: 68.18
03:21:44 --- Epoch: 28	Train loss: 0.9674	Valid loss: 0.9357	Train accuracy: 65.86	Valid accuracy: 67.46
03:22:23 --- Epoch: 29	Train loss: 0.9709	Valid loss: 0.9309	Train accuracy: 65.70	Valid accuracy: 67.74
03:23:01 --- Epoch: 30	Train loss: 0.9688	Valid loss: 1.0001	Train accuracy: 64.08	Valid accuracy: 65.84
03:23:40 --- Epoch: 31	Train loss: 0.9682	Valid loss: 0.9612	Train accuracy: 65.33	Valid accuracy: 67.06
03:24:19 --- Epoch: 32	Train loss: 0.9607	Valid loss: 0.9221	Train accuracy: 65.90	Valid accuracy: 68.15
03:24:58 --- Epoch: 33	Train loss: 0.9658	Valid loss: 0.8895	Train accuracy: 67.42	Valid accuracy: 69.28
03:25:37 --- Epoch: 34	Train loss: 0.9541	Valid loss: 0.9134	Train accuracy: 66.16	Valid accuracy: 68.24
03:26:17 --- Epoch: 35	Train loss: 0.9602	Valid loss: 0.9047	Train accuracy: 66.61	Valid accuracy: 68.61
03:26:56 --- Epoch: 36	Train loss: 0.9561	Valid loss: 0.9048	Train accuracy: 66.69	Valid accuracy: 68.42
03:27:34 --- Epoch: 37	Train loss: 0.9515	Valid loss: 0.9202	Train accuracy: 65.99	Valid accuracy: 68.19
03:28:15 --- Epoch: 38	Train loss: 0.9477	Valid loss: 0.8984	Train accuracy: 67.21	Valid accuracy: 69.16
03:28:54 --- Epoch: 39	Train loss: 0.9537	Valid loss: 0.8781	Train accuracy: 67.39	Valid accuracy: 69.48
03:29:32 --- Epoch: 40	Train loss: 0.9430	Valid loss: 0.8605	Train accuracy: 68.25	Valid accuracy: 70.22
03:30:11 --- Epoch: 41	Train loss: 0.9444	Valid loss: 0.9594	Train accuracy: 64.87	Valid accuracy: 67.64
