----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 30, 30]             168
            Conv2d-2            [-1, 6, 28, 28]             330
       BatchNorm2d-3            [-1, 6, 28, 28]              12
              ReLU-4            [-1, 6, 28, 28]               0
         MaxPool2d-5            [-1, 6, 14, 14]               0
            Conv2d-6           [-1, 16, 12, 12]             880
            Conv2d-7           [-1, 16, 10, 10]           2,320
       BatchNorm2d-8           [-1, 16, 10, 10]              32
              ReLU-9           [-1, 16, 10, 10]               0
AdaptiveAvgPool2d-10             [-1, 16, 1, 1]               0
           Linear-11                    [-1, 1]              16
             ReLU-12                    [-1, 1]               0
           Linear-13                   [-1, 16]              16
          Sigmoid-14                   [-1, 16]               0
          SEBlock-15           [-1, 16, 10, 10]               0
        MaxPool2d-16             [-1, 16, 5, 5]               0
          Flatten-17                  [-1, 400]               0
           Linear-18                  [-1, 120]          48,120
             ReLU-19                  [-1, 120]               0
           Linear-20                   [-1, 84]          10,164
             ReLU-21                   [-1, 84]               0
           Linear-22                   [-1, 10]             850
================================================================
Total params: 62,908
Trainable params: 62,908
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.23
Params size (MB): 0.24
Estimated Total Size (MB): 0.49
----------------------------------------------------------------
#Params: 0.1M
00:55:35 --- Start training loop	training on: cuda
00:56:14 --- Epoch: 1	Train loss: 1.7437	Valid loss: 1.5203	Train accuracy: 42.12	Valid accuracy: 45.04
00:56:53 --- Epoch: 2	Train loss: 1.4746	Valid loss: 1.4545	Train accuracy: 45.08	Valid accuracy: 48.89
00:57:31 --- Epoch: 3	Train loss: 1.3464	Valid loss: 1.2765	Train accuracy: 53.47	Valid accuracy: 55.23
00:58:09 --- Epoch: 4	Train loss: 1.2817	Valid loss: 1.4555	Train accuracy: 47.38	Valid accuracy: 50.50
00:58:48 --- Epoch: 5	Train loss: 1.2298	Valid loss: 1.1965	Train accuracy: 55.23	Valid accuracy: 57.77
00:59:26 --- Epoch: 6	Train loss: 1.1960	Valid loss: 1.1130	Train accuracy: 57.98	Valid accuracy: 60.13
01:00:04 --- Epoch: 7	Train loss: 1.1621	Valid loss: 1.0970	Train accuracy: 58.81	Valid accuracy: 61.46
01:00:44 --- Epoch: 8	Train loss: 1.1515	Valid loss: 1.0615	Train accuracy: 60.38	Valid accuracy: 62.28
01:01:22 --- Epoch: 9	Train loss: 1.1221	Valid loss: 1.0675	Train accuracy: 60.18	Valid accuracy: 62.34
01:02:00 --- Epoch: 10	Train loss: 1.1025	Valid loss: 1.0354	Train accuracy: 61.06	Valid accuracy: 63.22
01:02:39 --- Epoch: 11	Train loss: 1.0820	Valid loss: 1.0059	Train accuracy: 62.46	Valid accuracy: 64.72
01:03:17 --- Epoch: 12	Train loss: 1.0662	Valid loss: 0.9744	Train accuracy: 63.81	Valid accuracy: 65.89
01:03:56 --- Epoch: 13	Train loss: 1.0492	Valid loss: 0.9537	Train accuracy: 64.05	Valid accuracy: 66.62
01:04:35 --- Epoch: 14	Train loss: 1.0411	Valid loss: 0.9564	Train accuracy: 63.81	Valid accuracy: 66.05
01:05:14 --- Epoch: 15	Train loss: 1.0304	Valid loss: 0.9766	Train accuracy: 64.66	Valid accuracy: 65.68
01:05:52 --- Epoch: 16	Train loss: 1.0237	Valid loss: 0.9759	Train accuracy: 64.07	Valid accuracy: 65.96
01:06:30 --- Epoch: 17	Train loss: 1.0195	Valid loss: 0.9607	Train accuracy: 64.10	Valid accuracy: 65.86
01:07:08 --- Epoch: 18	Train loss: 1.0130	Valid loss: 0.9302	Train accuracy: 65.02	Valid accuracy: 67.87
01:07:46 --- Epoch: 19	Train loss: 0.9998	Valid loss: 0.9458	Train accuracy: 65.29	Valid accuracy: 66.92
01:08:25 --- Epoch: 20	Train loss: 0.9896	Valid loss: 0.9011	Train accuracy: 66.37	Valid accuracy: 68.51
01:09:03 --- Epoch: 21	Train loss: 0.9914	Valid loss: 0.9417	Train accuracy: 65.35	Valid accuracy: 67.04
