Files already downloaded and verified
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1            [-1, 6, 30, 30]             168
            Conv2d-2            [-1, 6, 28, 28]             330
       BatchNorm2d-3            [-1, 6, 28, 28]              12
              ReLU-4            [-1, 6, 28, 28]               0
         MaxPool2d-5            [-1, 6, 14, 14]               0
            Conv2d-6           [-1, 16, 12, 12]             880
            Conv2d-7           [-1, 16, 10, 10]           2,320
       BatchNorm2d-8           [-1, 16, 10, 10]              32
              ReLU-9           [-1, 16, 10, 10]               0
AdaptiveAvgPool2d-10             [-1, 16, 1, 1]               0
           Linear-11                    [-1, 1]              16
             ReLU-12                    [-1, 1]               0
           Linear-13                   [-1, 16]              16
          Sigmoid-14                   [-1, 16]               0
          SEBlock-15           [-1, 16, 10, 10]               0
        MaxPool2d-16             [-1, 16, 5, 5]               0
          Flatten-17                  [-1, 400]               0
           Linear-18                  [-1, 120]          48,120
             ReLU-19                  [-1, 120]               0
           Linear-20                   [-1, 84]          10,164
             ReLU-21                   [-1, 84]               0
           Linear-22                   [-1, 10]             850
================================================================
Total params: 62,908
Trainable params: 62,908
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 0.23
Params size (MB): 0.24
Estimated Total Size (MB): 0.49
----------------------------------------------------------------
#Params: 0.1M
01:47:27 --- Start training loop	training on: cuda
01:48:05 --- Epoch: 1	Train loss: 1.7353	Valid loss: 1.4594	Train accuracy: 43.06	Valid accuracy: 45.90
01:48:44 --- Epoch: 2	Train loss: 1.4759	Valid loss: 1.3258	Train accuracy: 49.35	Valid accuracy: 52.57
01:49:20 --- Epoch: 3	Train loss: 1.3808	Valid loss: 1.3174	Train accuracy: 50.96	Valid accuracy: 53.05
01:49:57 --- Epoch: 4	Train loss: 1.3209	Valid loss: 1.2152	Train accuracy: 54.41	Valid accuracy: 56.80
01:50:35 --- Epoch: 5	Train loss: 1.2709	Valid loss: 1.1933	Train accuracy: 55.73	Valid accuracy: 57.63
01:51:16 --- Epoch: 6	Train loss: 1.2393	Valid loss: 1.1513	Train accuracy: 57.04	Valid accuracy: 58.84
01:51:55 --- Epoch: 7	Train loss: 1.2007	Valid loss: 1.1196	Train accuracy: 57.96	Valid accuracy: 60.18
01:52:34 --- Epoch: 8	Train loss: 1.1814	Valid loss: 1.1016	Train accuracy: 59.45	Valid accuracy: 60.72
01:53:12 --- Epoch: 9	Train loss: 1.1568	Valid loss: 1.1021	Train accuracy: 59.17	Valid accuracy: 61.17
01:53:50 --- Epoch: 10	Train loss: 1.1355	Valid loss: 1.0648	Train accuracy: 60.73	Valid accuracy: 62.39
01:54:27 --- Epoch: 11	Train loss: 1.1144	Valid loss: 1.0387	Train accuracy: 61.82	Valid accuracy: 63.33
01:55:05 --- Epoch: 12	Train loss: 1.1032	Valid loss: 1.0191	Train accuracy: 62.24	Valid accuracy: 64.08
01:55:42 --- Epoch: 13	Train loss: 1.0864	Valid loss: 1.0546	Train accuracy: 61.01	Valid accuracy: 63.13
01:56:19 --- Epoch: 14	Train loss: 1.0725	Valid loss: 1.0223	Train accuracy: 62.39	Valid accuracy: 63.81
01:56:54 --- Epoch: 15	Train loss: 1.0599	Valid loss: 0.9977	Train accuracy: 63.44	Valid accuracy: 64.48
01:57:31 --- Epoch: 16	Train loss: 1.0550	Valid loss: 1.0223	Train accuracy: 62.39	Valid accuracy: 64.63
01:58:08 --- Epoch: 17	Train loss: 1.0519	Valid loss: 0.9900	Train accuracy: 63.27	Valid accuracy: 65.21
01:58:43 --- Epoch: 18	Train loss: 1.0363	Valid loss: 1.0015	Train accuracy: 62.44	Valid accuracy: 64.60
01:59:20 --- Epoch: 19	Train loss: 1.0219	Valid loss: 0.9374	Train accuracy: 65.46	Valid accuracy: 66.95
01:59:58 --- Epoch: 20	Train loss: 1.0163	Valid loss: 0.9626	Train accuracy: 64.44	Valid accuracy: 66.47
02:00:33 --- Epoch: 21	Train loss: 1.0092	Valid loss: 0.9747	Train accuracy: 64.36	Valid accuracy: 65.60
02:01:08 --- Epoch: 22	Train loss: 0.9947	Valid loss: 0.9476	Train accuracy: 65.01	Valid accuracy: 66.39
02:01:44 --- Epoch: 23	Train loss: 1.0013	Valid loss: 0.9313	Train accuracy: 65.58	Valid accuracy: 67.17
02:02:23 --- Epoch: 24	Train loss: 0.9829	Valid loss: 0.9159	Train accuracy: 66.32	Valid accuracy: 67.81
02:02:58 --- Epoch: 25	Train loss: 0.9761	Valid loss: 0.8876	Train accuracy: 66.85	Valid accuracy: 68.96
02:03:34 --- Epoch: 26	Train loss: 0.9701	Valid loss: 0.9175	Train accuracy: 66.34	Valid accuracy: 67.90
02:04:10 --- Epoch: 27	Train loss: 0.9617	Valid loss: 0.9154	Train accuracy: 66.21	Valid accuracy: 67.94
02:04:46 --- Epoch: 28	Train loss: 0.9563	Valid loss: 0.8829	Train accuracy: 67.35	Valid accuracy: 68.95
02:05:21 --- Epoch: 29	Train loss: 0.9512	Valid loss: 0.9002	Train accuracy: 66.51	Valid accuracy: 68.16
02:05:57 --- Epoch: 30	Train loss: 0.9577	Valid loss: 0.9075	Train accuracy: 66.70	Valid accuracy: 67.92
02:06:34 --- Epoch: 31	Train loss: 0.9396	Valid loss: 0.8946	Train accuracy: 66.25	Valid accuracy: 68.46
02:07:09 --- Epoch: 32	Train loss: 0.9444	Valid loss: 0.9072	Train accuracy: 66.52	Valid accuracy: 68.22
02:07:45 --- Epoch: 33	Train loss: 0.9360	Valid loss: 0.9114	Train accuracy: 66.38	Valid accuracy: 68.21
02:08:20 --- Epoch: 34	Train loss: 0.9386	Valid loss: 0.8877	Train accuracy: 67.65	Valid accuracy: 69.19
02:08:56 --- Epoch: 35	Train loss: 0.9380	Valid loss: 0.8919	Train accuracy: 67.06	Valid accuracy: 68.97
02:09:32 --- Epoch: 36	Train loss: 0.9244	Valid loss: 0.8783	Train accuracy: 68.13	Valid accuracy: 69.42
02:10:08 --- Epoch: 37	Train loss: 0.9200	Valid loss: 0.8483	Train accuracy: 68.53	Valid accuracy: 70.63
02:10:44 --- Epoch: 38	Train loss: 0.9120	Valid loss: 0.8576	Train accuracy: 68.13	Valid accuracy: 69.93
